epoch,train_loss,step,val_qa_em,val_loss,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_answer_f1
0,1.6232185363769531,9,,,,,,,,,,
0,1.4189704656600952,19,,,,,,,,,,
0,1.0323448181152344,29,,,,,,,,,,
0,0.780074417591095,39,,,,,,,,,,
0,0.5584141612052917,49,,,,,,,,,,
0,0.715494692325592,59,,,,,,,,,,
0,,60,0.25868725776672363,0.4135099947452545,0.8205714225769043,0.32851141691207886,0.34794026613235474,,,,,
1,0.4972774386405945,69,,,,,,,,,,
1,0.6508547067642212,79,,,,,,,,,,
1,0.4487980008125305,89,,,,,,,,,,
1,0.3802891671657562,99,,,,,,,,,,
1,0.47480762004852295,109,,,,,,,,,,
1,0.591623842716217,119,,,,,,,,,,
1,,121,0.3050193190574646,0.35116103291511536,0.8246678709983826,0.3402688801288605,0.37877362966537476,,,,,
2,0.4311140179634094,129,,,,,,,,,,
2,0.5383504629135132,139,,,,,,,,,,
2,0.4129790961742401,149,,,,,,,,,,
2,0.4991622567176819,159,,,,,,,,,,
2,0.33869507908821106,169,,,,,,,,,,
2,0.45466068387031555,179,,,,,,,,,,
2,,182,0.3243243098258972,0.3326495289802551,0.8340238332748413,0.3582265079021454,0.3996008634567261,,,,,
3,0.5250081419944763,189,,,,,,,,,,
3,0.26194509863853455,199,,,,,,,,,,
3,0.2777460813522339,209,,,,,,,,,,
3,0.3993489146232605,219,,,,,,,,,,
3,0.3812020719051361,229,,,,,,,,,,
3,0.25881215929985046,239,,,,,,,,,,
3,,243,0.3513513505458832,0.3052729368209839,0.8424574732780457,0.3782212734222412,0.42111462354660034,,,,,
4,0.34377458691596985,249,,,,,,,,,,
4,0.42155468463897705,259,,,,,,,,,,
4,0.344630628824234,269,,,,,,,,,,
4,0.44829267263412476,279,,,,,,,,,,
4,0.2479456067085266,289,,,,,,,,,,
4,0.39358004927635193,299,,,,,,,,,,
4,,304,0.3861003816127777,0.3088670074939728,0.8466759324073792,0.4053001403808594,0.4498053193092346,,,,,
5,,305,,,,,,0.4053001403808594,0.8466759324073792,0.3861003816127777,0.3088670074939728,0.4498053193092346
