epoch,step,train_loss,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1
0,9,2.0870449542999268,,,,,,,,,,
0,19,2.056851387023926,,,,,,,,,,
0,29,1.4073172807693481,,,,,,,,,,
0,39,1.0775046348571777,,,,,,,,,,
0,49,0.8188082575798035,,,,,,,,,,
0,55,,0.4619222581386566,0.435197114944458,0.838909924030304,1.5434986352920532,0.3207547068595886,,,,,
1,59,1.425737738609314,,,,,,,,,,
1,69,1.3211548328399658,,,,,,,,,,
1,79,0.7719030380249023,,,,,,,,,,
1,89,1.9050867557525635,,,,,,,,,,
1,99,2.187335729598999,,,,,,,,,,
1,109,1.4252500534057617,,,,,,,,,,
1,111,,0.5073238611221313,0.48234686255455017,0.8538141250610352,1.4005154371261597,0.3899371027946472,,,,,
2,119,1.5469201803207397,,,,,,,,,,
2,129,1.2005184888839722,,,,,,,,,,
2,139,1.5643951892852783,,,,,,,,,,
2,149,1.2667211294174194,,,,,,,,,,
2,159,1.130617380142212,,,,,,,,,,
2,167,,0.5123530030250549,0.49376240372657776,0.8552058935165405,1.3411364555358887,0.402515709400177,,,,,
3,169,1.3264243602752686,,,,,,,,,,
3,179,0.8270358443260193,,,,,,,,,,
3,189,1.225643277168274,,,,,,,,,,
3,199,1.305404782295227,,,,,,,,,,
3,209,1.3723433017730713,,,,,,,,,,
3,219,1.7279218435287476,,,,,,,,,,
3,223,,0.49465805292129517,0.4739229679107666,0.8511368036270142,1.2825275659561157,0.3962264060974121,,,,,
4,229,0.9233211874961853,,,,,,,,,,
4,239,0.6474992036819458,,,,,,,,,,
4,249,1.032304048538208,,,,,,,,,,
4,259,0.7606108784675598,,,,,,,,,,
4,269,0.5849377512931824,,,,,,,,,,
4,279,0.8698702454566956,,,,,,,,,,
4,279,,0.5058580040931702,0.48216894268989563,0.8549105525016785,1.2726491689682007,0.4088050425052643,,,,,
5,280,,,,,,,0.4088050425052643,0.5058580040931702,0.8549105525016785,1.2726491689682007,0.48216894268989563
