epoch,train_loss,step,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas
0,1.5552250146865845,9,,,,,,,,,,
0,1.3571555614471436,19,,,,,,,,,,
0,1.2770627737045288,29,,,,,,,,,,
0,2.0178890228271484,39,,,,,,,,,,
0,,48,0.4739398658275604,0.8524628281593323,0.54510498046875,0.26696833968162537,1.561613917350769,,,,,
1,2.224735975265503,49,,,,,,,,,,
1,1.3113945722579956,59,,,,,,,,,,
1,1.6162182092666626,69,,,,,,,,,,
1,0.7829224467277527,79,,,,,,,,,,
1,0.8757683038711548,89,,,,,,,,,,
1,,97,0.5221945643424988,0.8682559132575989,0.5732421875,0.3529411852359772,1.4242757558822632,,,,,
2,1.6785999536514282,99,,,,,,,,,,
2,1.7267922163009644,109,,,,,,,,,,
2,1.0320096015930176,119,,,,,,,,,,
2,0.8424771428108215,129,,,,,,,,,,
2,0.8461632132530212,139,,,,,,,,,,
2,,146,0.514806866645813,0.8665189146995544,0.5726231336593628,0.3665158450603485,1.3772119283676147,,,,,
3,0.7044373750686646,149,,,,,,,,,,
3,0.9847144484519958,159,,,,,,,,,,
3,0.4865035116672516,169,,,,,,,,,,
3,1.0162297487258911,179,,,,,,,,,,
3,1.172626256942749,189,,,,,,,,,,
3,,195,0.5255059003829956,0.8694328665733337,0.5798863172531128,0.3665158450603485,1.3116984367370605,,,,,
4,0.8527535200119019,199,,,,,,,,,,
4,1.3027417659759521,209,,,,,,,,,,
4,1.4176439046859741,219,,,,,,,,,,
4,1.2393442392349243,229,,,,,,,,,,
4,1.2186437845230103,239,,,,,,,,,,
4,,244,0.5174688100814819,0.869820237159729,0.5755963921546936,0.3529411852359772,1.28904128074646,,,,,
5,,245,,,,,,0.5255059003829956,1.3116984367370605,0.8694328665733337,0.3665158450603485,0.5798863172531128
