epoch,train_loss,step,val_qa_answer_f1,val_qa_em,val_loss,val_qa_bert_score,val_qa_sas,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_sas,test_loss
0,0.7736385464668274,9,,,,,,,,,,
0,0.9347587823867798,19,,,,,,,,,,
0,0.9251697659492493,29,,,,,,,,,,
0,1.035488247871399,39,,,,,,,,,,
0,,41,0.3456602096557617,0.2594936788082123,0.6734251379966736,0.8086757659912109,0.3165649473667145,,,,,
1,0.6433842182159424,49,,,,,,,,,,
1,1.0830531120300293,59,,,,,,,,,,
1,0.5781142711639404,69,,,,,,,,,,
1,0.43161913752555847,79,,,,,,,,,,
1,,83,0.3653077185153961,0.29113924503326416,0.4409539997577667,0.8116103410720825,0.3389892578125,,,,,
2,0.4009217321872711,89,,,,,,,,,,
2,0.45331278443336487,99,,,,,,,,,,
2,0.34775516390800476,109,,,,,,,,,,
2,0.3240865170955658,119,,,,,,,,,,
2,,125,0.41234564781188965,0.33544304966926575,0.39848271012306213,0.8303613662719727,0.38380128145217896,,,,,
3,0.3558744490146637,129,,,,,,,,,,
3,0.3820945620536804,139,,,,,,,,,,
3,0.4865311086177826,149,,,,,,,,,,
3,0.36050525307655334,159,,,,,,,,,,
3,,167,0.45499613881111145,0.39240506291389465,0.35738638043403625,0.8400729894638062,0.43000489473342896,,,,,
4,0.3700088560581207,169,,,,,,,,,,
4,0.3064080774784088,179,,,,,,,,,,
4,0.38348203897476196,189,,,,,,,,,,
4,0.4318593144416809,199,,,,,,,,,,
4,0.3904987871646881,209,,,,,,,,,,
4,,209,0.45360493659973145,0.39240506291389465,0.3468157947063446,0.8421483039855957,0.42774659395217896,,,,,
5,,210,,,,,,0.8400729894638062,0.45499613881111145,0.39240506291389465,0.43000489473342896,0.35738638043403625
