train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,test_loss
5.7100019454956055,0,9,,,,,,
4.028555870056152,0,19,,,,,,
2.8896520137786865,0,29,,,,,,
2.567898750305176,0,39,,,,,,
2.015903949737549,0,49,,,,,,
1.7206354141235352,0,59,,,,,,
,0,64,0.9284472465515137,0.1726524382829666,0.741985559463501,0.02631578966975212,0.22055920958518982,
1.226300835609436,1,69,,,,,,
0.8096323013305664,1,79,,,,,,
0.5478712320327759,1,89,,,,,,
0.3795267343521118,1,99,,,,,,
0.23562069237232208,1,109,,,,,,
0.17080038785934448,1,119,,,,,,
0.3011714518070221,1,129,,,,,,
,1,129,0.12037760019302368,0.1269257366657257,0.7129265069961548,0.02631578966975212,0.16758641600608826,
0.08646883070468903,2,139,,,,,,
0.18237437307834625,2,149,,,,,,
0.0889478549361229,2,159,,,,,,
0.035522330552339554,2,169,,,,,,
0.034794699400663376,2,179,,,,,,
0.033501315861940384,2,189,,,,,,
,2,194,0.05636938288807869,0.12438630312681198,0.7124406695365906,0.02631578966975212,0.1638393998146057,
0.024161487817764282,3,199,,,,,,
0.09400483220815659,3,209,,,,,,
0.0521673746407032,3,219,,,,,,
0.02880268543958664,3,229,,,,,,
0.01904536411166191,3,239,,,,,,
0.014797956682741642,3,249,,,,,,
0.00761039275676012,3,259,,,,,,
,3,259,0.04287991672754288,0.12431320548057556,0.7117623090744019,0.02631578966975212,0.16521331667900085,
0.01308760978281498,4,269,,,,,,
0.012108171358704567,4,279,,,,,,
0.015690680593252182,4,289,,,,,,
0.007904126308858395,4,299,,,,,,
0.00725865364074707,4,309,,,,,,
0.0063324603252112865,4,319,,,,,,
,4,324,0.05090821534395218,0.11712857335805893,0.7053664922714233,0.02631578966975212,0.1618533581495285,
,5,325,,,,,,0.9284472465515137
