epoch,step,train_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,val_loss,test_avg_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_answer_f1,test_avg_qa_sas
0,9,1.9613800048828125,,,,,,,,,,
0,19,2.439063549041748,,,,,,,,,,
0,29,1.7574790716171265,,,,,,,,,,
0,39,1.569940209388733,,,,,,,,,,
0,49,1.2217211723327637,,,,,,,,,,
0,51,,0.4755232334136963,0.8455992341041565,0.28735631704330444,0.5189319849014282,1.624462604522705,,,,,
1,59,2.060403347015381,,,,,,,,,,
1,69,1.9102277755737305,,,,,,,,,,
1,79,1.3162919282913208,,,,,,,,,,
1,89,1.585034728050232,,,,,,,,,,
1,99,1.3176782131195068,,,,,,,,,,
1,103,,0.5061197876930237,0.8587110638618469,0.3448275923728943,0.551025390625,1.4360274076461792,,,,,
2,109,1.387162446975708,,,,,,,,,,
2,119,0.8080113530158997,,,,,,,,,,
2,129,2.5231387615203857,,,,,,,,,,
2,139,1.200987696647644,,,,,,,,,,
2,149,1.6231107711791992,,,,,,,,,,
2,155,,0.5365659594535828,0.8676288723945618,0.3735632300376892,0.5737748742103577,1.3782901763916016,,,,,
3,159,1.0015034675598145,,,,,,,,,,
3,169,0.7317853569984436,,,,,,,,,,
3,179,0.35721537470817566,,,,,,,,,,
3,189,1.3080213069915771,,,,,,,,,,
3,199,1.6439061164855957,,,,,,,,,,
3,207,,0.5672719478607178,0.8767455816268921,0.4080459773540497,0.607666015625,1.3177191019058228,,,,,
4,209,0.8960675597190857,,,,,,,,,,
4,219,0.7192881107330322,,,,,,,,,,
4,229,0.9213037490844727,,,,,,,,,,
4,239,0.8885038495063782,,,,,,,,,,
4,249,0.8417080640792847,,,,,,,,,,
4,259,1.7022705078125,,,,,,,,,,
4,259,,0.5624005794525146,0.8749601244926453,0.40229883790016174,0.6064897179603577,1.291096806526184,,,,,
5,260,,,,,,,0.8767455816268921,0.4080459773540497,1.3177191019058228,0.5672719478607178,0.607666015625
