train_loss,step,epoch,val_qa_answer_f1,val_loss,val_qa_sas,val_qa_em,val_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_bert_score
1.5036824941635132,9,0,,,,,,,,,,
1.0813603401184082,19,0,,,,,,,,,,
1.1432194709777832,29,0,,,,,,,,,,
0.7932024598121643,39,0,,,,,,,,,,
,41,0,0.3207782506942749,0.4608932137489319,0.2937072813510895,0.22727273404598236,0.7923314571380615,,,,,
0.5829885601997375,49,1,,,,,,,,,,
0.4618300497531891,59,1,,,,,,,,,,
0.39069390296936035,69,1,,,,,,,,,,
0.4388992488384247,79,1,,,,,,,,,,
,83,1,0.3892560303211212,0.3507544994354248,0.3614746034145355,0.3246753215789795,0.814389705657959,,,,,
0.41398894786834717,89,2,,,,,,,,,,
0.5090953707695007,99,2,,,,,,,,,,
0.3132149875164032,109,2,,,,,,,,,,
0.3589465618133545,119,2,,,,,,,,,,
,125,2,0.407096803188324,0.30300459265708923,0.37730711698532104,0.350649356842041,0.8191322088241577,,,,,
0.5367891192436218,129,3,,,,,,,,,,
0.2916843891143799,139,3,,,,,,,,,,
0.40983617305755615,149,3,,,,,,,,,,
0.29701390862464905,159,3,,,,,,,,,,
,167,3,0.41396385431289673,0.28750690817832947,0.38200682401657104,0.350649356842041,0.8240392804145813,,,,,
0.40341120958328247,169,4,,,,,,,,,,
0.4615258276462555,179,4,,,,,,,,,,
0.4648415446281433,189,4,,,,,,,,,,
0.48954761028289795,199,4,,,,,,,,,,
0.3653886020183563,209,4,,,,,,,,,,
,209,4,0.4470731019973755,0.27818840742111206,0.42083740234375,0.4025973975658417,0.8360285758972168,,,,,
,210,5,,,,,,0.27818840742111206,0.42083740234375,0.4470731019973755,0.4025973975658417,0.8360285758972168
