train_loss,epoch,step,val_qa_em,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,test_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em
0.8492637872695923,0,9,,,,,,,,,,
0.6707080006599426,0,19,,,,,,,,,,
0.6308825612068176,0,29,,,,,,,,,,
0.8916765451431274,0,39,,,,,,,,,,
,0,41,0.26582279801368713,0.5552574992179871,0.341351717710495,0.8003145456314087,0.3204406797885895,,,,,
0.5731517672538757,1,49,,,,,,,,,,
0.6501024961471558,1,59,,,,,,,,,,
0.544837236404419,1,69,,,,,,,,,,
0.5889683961868286,1,79,,,,,,,,,,
,1,83,0.3164556920528412,0.47140637040138245,0.401256799697876,0.8223336935043335,0.36420899629592896,,,,,
0.37250566482543945,2,89,,,,,,,,,,
0.5000191926956177,2,99,,,,,,,,,,
0.4228127896785736,2,109,,,,,,,,,,
0.639670729637146,2,119,,,,,,,,,,
,2,125,0.34810125827789307,0.4094180464744568,0.43834188580513,0.8300374746322632,0.40574949979782104,,,,,
0.3916449248790741,3,129,,,,,,,,,,
0.6189926266670227,3,139,,,,,,,,,,
0.5502411723136902,3,149,,,,,,,,,,
0.3071907162666321,3,159,,,,,,,,,,
,3,167,0.3544303774833679,0.3954274356365204,0.438336044549942,0.8325015902519226,0.40617674589157104,,,,,
0.3816434442996979,4,169,,,,,,,,,,
0.29094019532203674,4,179,,,,,,,,,,
0.42251837253570557,4,189,,,,,,,,,,
0.5027181506156921,4,199,,,,,,,,,,
0.47214362025260925,4,209,,,,,,,,,,
,4,209,0.3417721390724182,0.37917882204055786,0.41689595580101013,0.826003909111023,0.3887573182582855,,,,,
,5,210,,,,,,0.4094180464744568,0.8300374746322632,0.40574949979782104,0.43834188580513,0.34810125827789307
