train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_meteor,val_qa_sas,test_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_meteor,test_avg_qa_sas
2.643319606781006,0,9,,,,,,,,,,,,
1.6602445840835571,0,19,,,,,,,,,,,,
1.9978853464126587,0,29,,,,,,,,,,,,
1.261414647102356,0,39,,,,,,,,,,,,
1.2869280576705933,0,49,,,,,,,,,,,,
,0,51,1.3339052200317383,0.4691435694694519,0.8784318566322327,0.26436781883239746,0.5176425576210022,0.5270552039146423,,,,,,
1.5097507238388062,1,59,,,,,,,,,,,,
1.1258987188339233,1,69,,,,,,,,,,,,
1.2153514623641968,1,79,,,,,,,,,,,,
0.9384072422981262,1,89,,,,,,,,,,,,
2.2810115814208984,1,99,,,,,,,,,,,,
,1,103,1.1729981899261475,0.517568051815033,0.8956091403961182,0.32758620381355286,0.5766655802726746,0.5714222192764282,,,,,,
1.1539396047592163,2,109,,,,,,,,,,,,
1.3441717624664307,2,119,,,,,,,,,,,,
1.3917244672775269,2,129,,,,,,,,,,,,
1.0079504251480103,2,139,,,,,,,,,,,,
1.9332945346832275,2,149,,,,,,,,,,,,
,2,155,1.0778796672821045,0.5482372045516968,0.9031113982200623,0.3563218414783478,0.5981920957565308,0.5894442200660706,,,,,,
1.0081684589385986,3,159,,,,,,,,,,,,
1.1476646661758423,3,169,,,,,,,,,,,,
0.6510628461837769,3,179,,,,,,,,,,,,
1.0996586084365845,3,189,,,,,,,,,,,,
0.5723406672477722,3,199,,,,,,,,,,,,
,3,207,1.0653969049453735,0.5418812036514282,0.9014045596122742,0.3563218414783478,0.5995666980743408,0.5909090638160706,,,,,,
0.7941034436225891,4,209,,,,,,,,,,,,
1.8488516807556152,4,219,,,,,,,,,,,,
0.592723548412323,4,229,,,,,,,,,,,,
0.5598687529563904,4,239,,,,,,,,,,,,
0.8232778310775757,4,249,,,,,,,,,,,,
0.3743312954902649,4,259,,,,,,,,,,,,
,4,259,1.0582959651947021,0.5512794256210327,0.9017755389213562,0.3735632300376892,0.6051631569862366,0.5991432666778564,,,,,,
,5,260,,,,,,,1.0582959651947021,0.5512794256210327,0.9017755389213562,0.3735632300376892,0.6051631569862366,0.5991432666778564
