epoch,train_loss,step,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,val_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em,test_loss
0,1.7010046243667603,9,,,,,,,,,,
0,1.2888039350509644,19,,,,,,,,,,
0,0.948127806186676,29,,,,,,,,,,
0,0.9859007000923157,39,,,,,,,,,,
0,,40,0.24122987687587738,0.5985977649688721,0.1627907007932663,0.21787886321544647,0.7742812633514404,,,,,
1,0.660953164100647,49,,,,,,,,,,
1,0.6521952152252197,59,,,,,,,,,,
1,0.42038190364837646,69,,,,,,,,,,
1,0.5596025586128235,79,,,,,,,,,,
1,,81,0.37338972091674805,0.44460275769233704,0.302325576543808,0.3444380462169647,0.814158022403717,,,,,
2,0.3368510603904724,89,,,,,,,,,,
2,0.4663117527961731,99,,,,,,,,,,
2,0.25856879353523254,109,,,,,,,,,,
2,0.36417073011398315,119,,,,,,,,,,
2,,122,0.37564048171043396,0.3949284255504608,0.3139534890651703,0.3431285619735718,0.8169057965278625,,,,,
3,0.4101462960243225,129,,,,,,,,,,
3,0.4068755507469177,139,,,,,,,,,,
3,0.19942454993724823,149,,,,,,,,,,
3,0.1913648098707199,159,,,,,,,,,,
3,,163,0.4100612699985504,0.35934823751449585,0.34302327036857605,0.3760209381580353,0.828335702419281,,,,,
4,0.5946429967880249,169,,,,,,,,,,
4,0.2337786704301834,179,,,,,,,,,,
4,0.24614346027374268,189,,,,,,,,,,
4,0.22639894485473633,199,,,,,,,,,,
4,,204,0.43697285652160645,0.3498716652393341,0.38372093439102173,0.4016779065132141,0.840488076210022,,,,,
5,,205,,,,,,0.43697285652160645,0.4016779065132141,0.840488076210022,0.38372093439102173,0.3498716652393341
