train_loss,epoch,step,val_qa_bert_score,val_qa_sas,val_qa_em,val_qa_answer_f1,val_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_loss
0.9878981113433838,0,9,,,,,,,,,,
3.2913506031036377,0,19,,,,,,,,,,
1.6806414127349854,0,29,,,,,,,,,,
1.5154794454574585,0,39,,,,,,,,,,
1.5576671361923218,0,49,,,,,,,,,,
,0,49,0.7939311861991882,0.35218507051467896,0.05833333358168602,0.25422605872154236,1.5565792322158813,,,,,
0.7506916522979736,1,59,,,,,,,,,,
0.9345725178718567,1,69,,,,,,,,,,
1.701336145401001,1,79,,,,,,,,,,
1.4199529886245728,1,89,,,,,,,,,,
1.020942211151123,1,99,,,,,,,,,,
,1,99,0.810495138168335,0.41358235478401184,0.09166666865348816,0.3088879883289337,1.473764419555664,,,,,
0.5865607261657715,2,109,,,,,,,,,,
0.8006389141082764,2,119,,,,,,,,,,
0.4039919674396515,2,129,,,,,,,,,,
1.6446069478988647,2,139,,,,,,,,,,
1.0789899826049805,2,149,,,,,,,,,,
,2,149,0.8148625493049622,0.4293375611305237,0.1041666641831398,0.3300480544567108,1.4319828748703003,,,,,
0.8078898787498474,3,159,,,,,,,,,,
0.374455988407135,3,169,,,,,,,,,,
1.3354195356369019,3,179,,,,,,,,,,
1.0552109479904175,3,189,,,,,,,,,,
0.9045082926750183,3,199,,,,,,,,,,
,3,199,0.8230014443397522,0.4553873836994171,0.11249999701976776,0.35328829288482666,1.412108302116394,,,,,
1.2221403121948242,4,209,,,,,,,,,,
0.8290462493896484,4,219,,,,,,,,,,
0.6732598543167114,4,229,,,,,,,,,,
0.9127709865570068,4,239,,,,,,,,,,
0.6844710111618042,4,249,,,,,,,,,,
,4,249,0.8251621127128601,0.4617675840854645,0.11249999701976776,0.3622894585132599,1.3919662237167358,,,,,
,5,250,,,,,,0.8251621127128601,0.4617675840854645,0.3622894585132599,0.11249999701976776,1.3919662237167358
