epoch,train_loss,step,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,test_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1
0,1.585909128189087,9,,,,,,,,,,
0,1.3230634927749634,19,,,,,,,,,,
0,1.6363539695739746,29,,,,,,,,,,
0,1.4472545385360718,39,,,,,,,,,,
0,1.035505771636963,49,,,,,,,,,,
0,,51,0.5684117078781128,0.4830707609653473,0.862923800945282,0.6810768842697144,0.2361111044883728,,,,,
1,2.020782709121704,59,,,,,,,,,,
1,1.3142927885055542,69,,,,,,,,,,
1,1.6581536531448364,79,,,,,,,,,,
1,1.1464074850082397,89,,,,,,,,,,
1,0.6631534695625305,99,,,,,,,,,,
1,,103,0.6248953938484192,0.5501856207847595,0.8824988603591919,0.6446455717086792,0.29629629850387573,,,,,
2,1.0579960346221924,109,,,,,,,,,,
2,0.8727433085441589,119,,,,,,,,,,
2,1.3098446130752563,129,,,,,,,,,,
2,1.6016936302185059,139,,,,,,,,,,
2,0.6053585410118103,149,,,,,,,,,,
2,,155,0.6262032389640808,0.5502638220787048,0.883276104927063,0.634477972984314,0.31018519401550293,,,,,
3,0.7726865410804749,159,,,,,,,,,,
3,0.8912978172302246,169,,,,,,,,,,
3,0.7941641211509705,179,,,,,,,,,,
3,0.9906129240989685,189,,,,,,,,,,
3,1.1526381969451904,199,,,,,,,,,,
3,,207,0.6434674859046936,0.5633947253227234,0.8861732482910156,0.6164135336875916,0.3194444477558136,,,,,
4,1.5235114097595215,209,,,,,,,,,,
4,0.9739565253257751,219,,,,,,,,,,
4,0.791228175163269,229,,,,,,,,,,
4,0.9863379597663879,239,,,,,,,,,,
4,1.232491374015808,249,,,,,,,,,,
4,0.14491447806358337,259,,,,,,,,,,
4,,259,0.6433280110359192,0.5704897046089172,0.8879432678222656,0.6121113300323486,0.3194444477558136,,,,,
5,,260,,,,,,0.6121113300323486,0.8879432678222656,0.6433280110359192,0.3194444477558136,0.5704897046089172
