step,epoch,train_loss,val_loss,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
9,0,0.9989871978759766,,,,,,,,,,
19,0,0.9935579895973206,,,,,,,,,,
29,0,0.7085924744606018,,,,,,,,,,
39,0,1.0749105215072632,,,,,,,,,,
40,0,,0.5763654708862305,0.7867034077644348,0.20555555820465088,0.2870766818523407,0.2471669465303421,,,,,
49,1,0.7029447555541992,,,,,,,,,,
59,1,0.36958932876586914,,,,,,,,,,
69,1,0.5996738076210022,,,,,,,,,,
79,1,0.5330754518508911,,,,,,,,,,
81,1,,0.42742490768432617,0.7981154918670654,0.25555557012557983,0.32243096828460693,0.3015899658203125,,,,,
89,2,0.2734930217266083,,,,,,,,,,
99,2,0.6872685551643372,,,,,,,,,,
109,2,0.3011035919189453,,,,,,,,,,
119,2,0.4530773460865021,,,,,,,,,,
122,2,,0.36157065629959106,0.8258083462715149,0.3222222328186035,0.39691996574401855,0.36566162109375,,,,,
129,3,0.3745991885662079,,,,,,,,,,
139,3,0.5023486614227295,,,,,,,,,,
149,3,0.3276045620441437,,,,,,,,,,
159,3,0.43971723318099976,,,,,,,,,,
163,3,,0.33912259340286255,0.8329976201057434,0.3444444537162781,0.41269031167030334,0.380706787109375,,,,,
169,4,0.35109132528305054,,,,,,,,,,
179,4,0.22957183420658112,,,,,,,,,,
189,4,0.3676992952823639,,,,,,,,,,
199,4,0.4406161904335022,,,,,,,,,,
204,4,,0.30273035168647766,0.8518040180206299,0.4166666567325592,0.47212809324264526,0.4465535581111908,,,,,
205,5,,,,,,,0.4166666567325592,0.47212809324264526,0.30273035168647766,0.8518040180206299,0.4465535581111908
