train_loss,epoch,step,val_qa_em,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,test_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em
1.0776150226593018,0,9,,,,,,,,,,
1.0274189710617065,0,19,,,,,,,,,,
0.8908129334449768,0,29,,,,,,,,,,
0.8896880149841309,0,39,,,,,,,,,,
,0,40,0.1627907007932663,0.6453132033348083,0.27233386039733887,0.7809171676635742,0.2310735583305359,,,,,
0.7835980653762817,1,49,,,,,,,,,,
0.6513359546661377,1,59,,,,,,,,,,
0.6110936999320984,1,69,,,,,,,,,,
0.8310670852661133,1,79,,,,,,,,,,
,1,81,0.1860465109348297,0.5592379570007324,0.28445184230804443,0.7878711819648743,0.244384765625,,,,,
0.4344799518585205,2,89,,,,,,,,,,
0.7038275003433228,2,99,,,,,,,,,,
0.30238085985183716,2,109,,,,,,,,,,
0.5220621824264526,2,119,,,,,,,,,,
,2,122,0.26744186878204346,0.47791311144828796,0.3539467453956604,0.8167375326156616,0.3157848119735718,,,,,
0.36160004138946533,3,129,,,,,,,,,,
0.3356531858444214,3,139,,,,,,,,,,
0.372795045375824,3,149,,,,,,,,,,
0.2881923317909241,3,159,,,,,,,,,,
,3,163,0.30813953280448914,0.4120641350746155,0.39979252219200134,0.828510046005249,0.3626265227794647,,,,,
0.6585193276405334,4,169,,,,,,,,,,
0.3109351098537445,4,179,,,,,,,,,,
0.22780993580818176,4,189,,,,,,,,,,
0.2851417660713196,4,199,,,,,,,,,,
,4,204,0.36627906560897827,0.37829697132110596,0.442782461643219,0.842327356338501,0.40822532773017883,,,,,
,5,205,,,,,,0.37829697132110596,0.842327356338501,0.40822532773017883,0.442782461643219,0.36627906560897827
