train_loss,epoch,step,val_qa_em,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,test_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em
1.0726763010025024,0,9,,,,,,,,,,
0.9968686699867249,0,19,,,,,,,,,,
0.5684270262718201,0,29,,,,,,,,,,
0.44538185000419617,0,39,,,,,,,,,,
,0,41,0.18831168115139008,0.5776107311248779,0.28352785110473633,0.7839258909225464,0.245025634765625,,,,,
0.7649581432342529,1,49,,,,,,,,,,
0.5145044922828674,1,59,,,,,,,,,,
0.6997585296630859,1,69,,,,,,,,,,
0.40898916125297546,1,79,,,,,,,,,,
,1,83,0.26623377203941345,0.4767218232154846,0.3315332531929016,0.7994558215141296,0.300628662109375,,,,,
0.33539754152297974,2,89,,,,,,,,,,
0.4404140114784241,2,99,,,,,,,,,,
0.5794621706008911,2,109,,,,,,,,,,
0.35062381625175476,2,119,,,,,,,,,,
,2,125,0.2857142984867096,0.4048747420310974,0.3547029197216034,0.8007100820541382,0.32072752714157104,,,,,
0.36713314056396484,3,129,,,,,,,,,,
0.3551131784915924,3,139,,,,,,,,,,
0.45483118295669556,3,149,,,,,,,,,,
0.3045503497123718,3,159,,,,,,,,,,
,3,167,0.350649356842041,0.36114561557769775,0.40589240193367004,0.8246681094169617,0.3760620057582855,,,,,
0.5479745864868164,4,169,,,,,,,,,,
0.48022907972335815,4,179,,,,,,,,,,
0.35986098647117615,4,189,,,,,,,,,,
0.42771297693252563,4,199,,,,,,,,,,
0.33091557025909424,4,209,,,,,,,,,,
,4,209,0.3961038887500763,0.3386172950267792,0.4486444592475891,0.8364602327346802,0.4170165956020355,,,,,
,5,210,,,,,,0.3386172950267792,0.8364602327346802,0.4170165956020355,0.4486444592475891,0.3961038887500763
