epoch,train_loss,step,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,val_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em,test_loss
0,1.3480162620544434,9,,,,,,,,,,
0,1.331186056137085,19,,,,,,,,,,
0,0.8073778748512268,29,,,,,,,,,,
0,0.9280936121940613,39,,,,,,,,,,
0,,40,0.2754970192909241,0.5643195509910583,0.18888889253139496,0.2575836181640625,0.7806141972541809,,,,,
1,0.6576345562934875,49,,,,,,,,,,
1,0.5472783446311951,59,,,,,,,,,,
1,0.6607082486152649,69,,,,,,,,,,
1,0.5789249539375305,79,,,,,,,,,,
1,,81,0.44786515831947327,0.40241676568984985,0.36666667461395264,0.426788330078125,0.8372794985771179,,,,,
2,0.27155789732933044,89,,,,,,,,,,
2,0.6199885010719299,99,,,,,,,,,,
2,0.2886691987514496,109,,,,,,,,,,
2,0.45675787329673767,119,,,,,,,,,,
2,,122,0.45257866382598877,0.36532390117645264,0.38333332538604736,0.452606201171875,0.8518475890159607,,,,,
3,0.35032209753990173,129,,,,,,,,,,
3,0.3900258243083954,139,,,,,,,,,,
3,0.36505264043807983,149,,,,,,,,,,
3,0.39081457257270813,159,,,,,,,,,,
3,,163,0.46252161264419556,0.3342306315898895,0.39444443583488464,0.4641011655330658,0.859071671962738,,,,,
4,0.5742469429969788,169,,,,,,,,,,
4,0.27356839179992676,179,,,,,,,,,,
4,0.37350359559059143,189,,,,,,,,,,
4,0.3279755711555481,199,,,,,,,,,,
4,,204,0.505377471446991,0.31235751509666443,0.4444444477558136,0.5075175166130066,0.8715286254882812,,,,,
5,,205,,,,,,0.505377471446991,0.5075175166130066,0.8715286254882812,0.4444444477558136,0.31235751509666443
