epoch,train_loss,step,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_loss,val_qa_em,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_em,test_loss,test_avg_qa_answer_f1
0,1.2624555826187134,9,,,,,,,,,,
0,0.9234194159507751,19,,,,,,,,,,
0,0.5150085091590881,29,,,,,,,,,,
0,3.002413511276245,39,,,,,,,,,,
0,1.4993736743927002,49,,,,,,,,,,
0,,54,0.3963160216808319,0.5170232653617859,0.8394926190376282,1.110131859779358,0.1111111119389534,,,,,
1,0.35663485527038574,59,,,,,,,,,,
1,1.1972625255584717,69,,,,,,,,,,
1,2.9223244190216064,79,,,,,,,,,,
1,0.8850350975990295,89,,,,,,,,,,
1,1.2142753601074219,99,,,,,,,,,,
1,0.7361845970153809,109,,,,,,,,,,
1,,109,0.4290078282356262,0.5384632349014282,0.8491725921630859,1.0733009576797485,0.1358024626970291,,,,,
2,1.591740369796753,119,,,,,,,,,,
2,0.7472652792930603,129,,,,,,,,,,
2,1.26478111743927,139,,,,,,,,,,
2,1.161970615386963,149,,,,,,,,,,
2,0.9176864624023438,159,,,,,,,,,,
2,,164,0.4475734829902649,0.5502263903617859,0.85396808385849,1.04841947555542,0.15432098507881165,,,,,
3,1.2086788415908813,169,,,,,,,,,,
3,1.0675415992736816,179,,,,,,,,,,
3,0.8999952077865601,189,,,,,,,,,,
3,0.6403314471244812,199,,,,,,,,,,
3,1.5640500783920288,209,,,,,,,,,,
3,1.160234808921814,219,,,,,,,,,,
3,,219,0.4552226662635803,0.5526012182235718,0.855616569519043,1.0332667827606201,0.1666666716337204,,,,,
4,1.7007323503494263,229,,,,,,,,,,
4,0.5811951756477356,239,,,,,,,,,,
4,0.9352648258209229,249,,,,,,,,,,
4,0.8382101655006409,259,,,,,,,,,,
4,1.2634657621383667,269,,,,,,,,,,
4,,274,0.4615948498249054,0.5629438757896423,0.8572279214859009,1.0292519330978394,0.16049382090568542,,,,,
5,,275,,,,,,0.8572279214859009,0.5629438757896423,0.16049382090568542,1.0292519330978394,0.4615948498249054
