epoch,train_loss,step,val_qa_bert_score,val_qa_answer_f1,val_qa_sas,val_qa_em,val_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
0,2.13031005859375,9,,,,,,,,,,
0,1.054328441619873,19,,,,,,,,,,
0,1.3941264152526855,29,,,,,,,,,,
0,1.33376944065094,39,,,,,,,,,,
0,1.8762927055358887,49,,,,,,,,,,
0,,53,0.8352336287498474,0.45948827266693115,0.4979451596736908,0.2864864766597748,1.5138429403305054,,,,,
1,1.5705925226211548,59,,,,,,,,,,
1,1.1774896383285522,69,,,,,,,,,,
1,2.0187582969665527,79,,,,,,,,,,
1,1.8265089988708496,89,,,,,,,,,,
1,1.44757878780365,99,,,,,,,,,,
1,,107,0.8436868786811829,0.4786521792411804,0.5175984501838684,0.318918913602829,1.3551816940307617,,,,,
2,1.7167787551879883,109,,,,,,,,,,
2,1.6406046152114868,119,,,,,,,,,,
2,0.7225043773651123,129,,,,,,,,,,
2,7.115189075469971,139,,,,,,,,,,
2,1.2085192203521729,149,,,,,,,,,,
2,0.8870574831962585,159,,,,,,,,,,
2,,161,0.8592867255210876,0.5248254537582397,0.5574137568473816,0.3729729652404785,1.2889251708984375,,,,,
3,1.0178582668304443,169,,,,,,,,,,
3,4.4611992835998535,179,,,,,,,,,,
3,1.0485535860061646,189,,,,,,,,,,
3,1.2992578744888306,199,,,,,,,,,,
3,1.05652916431427,209,,,,,,,,,,
3,,215,0.8636236786842346,0.529394268989563,0.5619710087776184,0.3675675690174103,1.2224160432815552,,,,,
4,0.5713326334953308,219,,,,,,,,,,
4,0.7789263725280762,229,,,,,,,,,,
4,1.0448811054229736,239,,,,,,,,,,
4,0.4810216426849365,249,,,,,,,,,,
4,2.9720652103424072,259,,,,,,,,,,
4,0.9995729923248291,269,,,,,,,,,,
4,,269,0.865401566028595,0.5260909795761108,0.5566609501838684,0.37837839126586914,1.224419116973877,,,,,
5,,270,,,,,,0.37837839126586914,0.865401566028595,0.5260909795761108,0.5566609501838684,1.224419116973877
