epoch,train_loss,step,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,val_qa_bert_score
0,1.704843521118164,9,,,,,
0,1.1119389533996582,19,,,,,
0,1.044950246810913,29,,,,,
0,0.88575279712677,39,,,,,
0,,41,0.2960541248321533,0.4877956807613373,0.2142857164144516,0.279296875,0.7839139699935913
1,0.48483559489250183,49,,,,,
1,0.4981438219547272,59,,,,,
1,0.4026740491390228,69,,,,,
1,0.4304600954055786,79,,,,,
1,,83,0.38879162073135376,0.37729090452194214,0.3311688303947449,0.3683227598667145,0.8100054860115051
2,0.4464302361011505,89,,,,,
2,0.5045238733291626,99,,,,,
2,0.24547149240970612,109,,,,,
2,0.2766483724117279,119,,,,,
2,,125,0.39134278893470764,0.319669634103775,0.33766233921051025,0.37188720703125,0.8144129514694214
3,0.5111402273178101,129,,,,,
3,0.3162582218647003,139,,,,,
3,0.3609183728694916,149,,,,,
3,0.26811888813972473,159,,,,,
3,,167,0.4287855923175812,0.30341318249702454,0.37662336230278015,0.39830321073532104,0.8308650255203247
4,0.43672415614128113,169,,,,,
