train_loss,step,epoch,val_qa_answer_f1,val_qa_sas,val_qa_em,val_qa_bert_score,val_loss,test_loss
0.46080514788627625,9,0,,,,,,
0.7195106744766235,19,0,,,,,,
0.9325465559959412,29,0,,,,,,
0.7095763087272644,39,0,,,,,,
0.4158083200454712,49,0,,,,,,
0.28770506381988525,59,0,,,,,,
0.15333275496959686,69,0,,,,,,
0.33765631914138794,79,0,,,,,,
,83,0,0.3155529201030731,0.3378998935222626,0.22727273404598236,0.7966219186782837,0.10651575773954391,
0.19567915797233582,89,1,,,,,,
0.21189557015895844,99,1,,,,,,
0.3304000496864319,109,1,,,,,,
0.24036641418933868,119,1,,,,,,
0.20243753492832184,129,1,,,,,,
0.4067493677139282,139,1,,,,,,
0.19606119394302368,149,1,,,,,,
0.2412467896938324,159,1,,,,,,
,167,1,0.4017215967178345,0.42448535561561584,0.33766233921051025,0.8252727389335632,0.07342810928821564,
0.20932725071907043,169,2,,,,,,
0.1556229293346405,179,2,,,,,,
0.23451487720012665,189,2,,,,,,
0.27714091539382935,199,2,,,,,,
0.20918843150138855,209,2,,,,,,
0.2530582845211029,219,2,,,,,,
0.2813563644886017,229,2,,,,,,
0.19727011024951935,239,2,,,,,,
0.18224099278450012,249,2,,,,,,
,251,2,0.4619514048099518,0.4564632177352905,0.3961038887500763,0.8399999141693115,0.06753361970186234,
0.07812146097421646,259,3,,,,,,
0.1299842894077301,269,3,,,,,,
0.057231780141592026,279,3,,,,,,
0.09944203495979309,289,3,,,,,,
0.0804356038570404,299,3,,,,,,
0.06177052482962608,309,3,,,,,,
0.05781146138906479,319,3,,,,,,
0.0618375726044178,329,3,,,,,,
,335,3,0.4715318977832794,0.45878392457962036,0.41558441519737244,0.8426965475082397,0.06627926230430603,
0.08041907846927643,339,4,,,,,,
0.1600981056690216,349,4,,,,,,
0.04238314554095268,359,4,,,,,,
0.07034306228160858,369,4,,,,,,
0.04030918329954147,379,4,,,,,,
0.03406890854239464,389,4,,,,,,
0.09384213387966156,399,4,,,,,,
0.08005500584840775,409,4,,,,,,
0.0613858737051487,419,4,,,,,,
,419,4,0.4951970875263214,0.47868630290031433,0.44155845046043396,0.8490799069404602,0.0703645795583725,
,420,5,,,,,,0.0703645795583725
