epoch,train_loss,step,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,test_avg_qa_sas,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1
0,1.1538212299346924,9,,,,,,,,,,
0,0.7819427251815796,19,,,,,,,,,,
0,0.7141733765602112,29,,,,,,,,,,
0,0.5222725868225098,39,,,,,,,,,,
0,0.9262391924858093,49,,,,,,,,,,
0,0.5398481488227844,59,,,,,,,,,,
0,,62,0.24669604003429413,0.7995204329490662,0.2675958275794983,0.30721351504325867,0.39293205738067627,,,,,
1,0.4280003011226654,69,,,,,,,,,,
1,0.4825458526611328,79,,,,,,,,,,
1,0.3727599084377289,89,,,,,,,,,,
1,0.35142064094543457,99,,,,,,,,,,
1,0.47737446427345276,109,,,,,,,,,,
1,0.4650738537311554,119,,,,,,,,,,
1,,125,0.33039647340774536,0.8302788138389587,0.3741680681705475,0.38791778683662415,0.332597553730011,,,,,
2,0.4049857258796692,129,,,,,,,,,,
2,0.41158854961395264,139,,,,,,,,,,
2,0.32660090923309326,149,,,,,,,,,,
2,0.32683658599853516,159,,,,,,,,,,
2,0.39918792247772217,169,,,,,,,,,,
2,0.4489762485027313,179,,,,,,,,,,
2,,188,0.32158589363098145,0.818885862827301,0.3527924120426178,0.3910863697528839,0.30715441703796387,,,,,
3,0.2144816815853119,189,,,,,,,,,,
3,0.327813059091568,199,,,,,,,,,,
3,0.24452966451644897,209,,,,,,,,,,
3,0.43886086344718933,219,,,,,,,,,,
3,0.30645379424095154,229,,,,,,,,,,
3,0.32399722933769226,239,,,,,,,,,,
3,0.2729317843914032,249,,,,,,,,,,
3,,251,0.4140969216823578,0.8354409337043762,0.4199382960796356,0.47222766280174255,0.26886671781539917,,,,,
4,0.27212831377983093,259,,,,,,,,,,
4,0.1775771826505661,269,,,,,,,,,,
4,0.28447484970092773,279,,,,,,,,,,
4,0.3876761794090271,289,,,,,,,,,,
4,0.2789922058582306,299,,,,,,,,,,
4,0.20461879670619965,309,,,,,,,,,,
4,,314,0.4361233413219452,0.8484911322593689,0.4663255512714386,0.5010477900505066,0.290322870016098,,,,,
5,,315,,,,,,0.4663255512714386,0.290322870016098,0.4361233413219452,0.8484911322593689,0.5010477900505066
