train_loss,epoch,step,val_loss,val_qa_sas,val_qa_bert_score,val_qa_em,val_qa_answer_f1,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_em,test_avg_qa_sas
1.3277746438980103,0,9,,,,,,,,,,
1.038639783859253,0,19,,,,,,,,,,
1.2796052694320679,0,29,,,,,,,,,,
1.085256576538086,0,39,,,,,,,,,,
1.7238632440567017,0,49,,,,,,,,,,
,0,51,1.2652013301849365,0.4069039523601532,0.7967565655708313,0.08372092992067337,0.27101388573646545,,,,,
1.255895972251892,1,59,,,,,,,,,,
1.738158941268921,1,69,,,,,,,,,,
1.470049262046814,1,79,,,,,,,,,,
1.381604552268982,1,89,,,,,,,,,,
2.577125072479248,1,99,,,,,,,,,,
,1,103,1.2050522565841675,0.4865199625492096,0.8211588859558105,0.14883720874786377,0.3551977574825287,,,,,
1.4190969467163086,2,109,,,,,,,,,,
1.2374502420425415,2,119,,,,,,,,,,
1.2825019359588623,2,129,,,,,,,,,,
1.2482866048812866,2,139,,,,,,,,,,
1.3505662679672241,2,149,,,,,,,,,,
,2,155,1.1587201356887817,0.5312325358390808,0.8330293297767639,0.17209301888942719,0.40064892172813416,,,,,
1.2288817167282104,3,159,,,,,,,,,,
1.2048709392547607,3,169,,,,,,,,,,
1.1211308240890503,3,179,,,,,,,,,,
1.5578495264053345,3,189,,,,,,,,,,
1.124103307723999,3,199,,,,,,,,,,
,3,207,1.1421823501586914,0.5503278374671936,0.8396201133728027,0.18139535188674927,0.41747233271598816,,,,,
1.379518985748291,4,209,,,,,,,,,,
1.164892554283142,4,219,,,,,,,,,,
1.1753511428833008,4,229,,,,,,,,,,
0.8049657940864563,4,239,,,,,,,,,,
1.078461766242981,4,249,,,,,,,,,,
0.6941749453544617,4,259,,,,,,,,,,
,4,259,1.1192225217819214,0.5558384656906128,0.8435350656509399,0.17674419283866882,0.43063682317733765,,,,,
,5,260,,,,,,0.43063682317733765,0.8435350656509399,1.1192225217819214,0.17674419283866882,0.5558384656906128
