epoch,train_loss,step,val_qa_em,val_loss,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_answer_f1
0,1.9770283699035645,9,,,,,,,,,,
0,1.0383681058883667,19,,,,,,,,,,
0,0.6638324856758118,29,,,,,,,,,,
0,0.8621996641159058,39,,,,,,,,,,
0,0.618215799331665,49,,,,,,,,,,
0,0.5702129602432251,59,,,,,,,,,,
0,,59,0.20220588147640228,0.4978537857532501,0.7999227643013,0.27221575379371643,0.3021637499332428,,,,,
1,0.48009365797042847,69,,,,,,,,,,
1,0.3343336582183838,79,,,,,,,,,,
1,0.6356146931648254,89,,,,,,,,,,
1,0.6541356444358826,99,,,,,,,,,,
1,0.5772601366043091,109,,,,,,,,,,
1,0.2650478780269623,119,,,,,,,,,,
1,,119,0.2610294222831726,0.44105806946754456,0.8084782958030701,0.31182223558425903,0.33924469351768494,,,,,
2,0.5649235844612122,129,,,,,,,,,,
2,0.43024542927742004,139,,,,,,,,,,
2,0.378797322511673,149,,,,,,,,,,
2,0.39399611949920654,159,,,,,,,,,,
2,0.5107996463775635,169,,,,,,,,,,
2,0.17095518112182617,179,,,,,,,,,,
2,,179,0.2977941036224365,0.40016940236091614,0.8158112168312073,0.3363487124443054,0.36202651262283325,,,,,
3,0.23190903663635254,189,,,,,,,,,,
3,0.24426813423633575,199,,,,,,,,,,
3,0.24928075075149536,209,,,,,,,,,,
3,0.342573881149292,219,,,,,,,,,,
3,0.37007132172584534,229,,,,,,,,,,
3,0.3352213203907013,239,,,,,,,,,,
3,,239,0.31617647409439087,0.3741191327571869,0.8235747218132019,0.35667359828948975,0.3837992250919342,,,,,
4,0.32428860664367676,249,,,,,,,,,,
4,0.4077184796333313,259,,,,,,,,,,
4,0.3298972249031067,269,,,,,,,,,,
4,0.36559706926345825,279,,,,,,,,,,
4,0.501495897769928,289,,,,,,,,,,
4,0.17973491549491882,299,,,,,,,,,,
4,,299,0.30882352590560913,0.35906562209129333,0.8366367816925049,0.35965481400489807,0.4009425938129425,,,,,
5,,300,,,,,,0.35965481400489807,0.8366367816925049,0.30882352590560913,0.35906562209129333,0.4009425938129425
