train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_qa_sas,test_avg_qa_sas,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1
1.3881956338882446,0,9,,,,,,,,,,
1.4022866487503052,0,19,,,,,,,,,,
1.9920377731323242,0,29,,,,,,,,,,
1.5799212455749512,0,39,,,,,,,,,,
1.1615318059921265,0,49,,,,,,,,,,
,0,51,0.7736138105392456,0.35106727480888367,0.16203702986240387,0.8274776339530945,0.4414760172367096,,,,,
1.690706491470337,1,59,,,,,,,,,,
1.4901330471038818,1,69,,,,,,,,,,
1.639243483543396,1,79,,,,,,,,,,
1.4756382703781128,1,89,,,,,,,,,,
0.7431479096412659,1,99,,,,,,,,,,
,1,103,0.7189759612083435,0.39718660712242126,0.19907407462596893,0.8439792990684509,0.4829450249671936,,,,,
0.8721174001693726,2,109,,,,,,,,,,
0.8764835000038147,2,119,,,,,,,,,,
1.6036399602890015,2,129,,,,,,,,,,
1.3117717504501343,2,139,,,,,,,,,,
0.8113017678260803,2,149,,,,,,,,,,
,2,155,0.6907982230186462,0.43829989433288574,0.2361111044883728,0.8552642464637756,0.5210135579109192,,,,,
0.7778644561767578,3,159,,,,,,,,,,
0.9946867227554321,3,169,,,,,,,,,,
0.9636640548706055,3,179,,,,,,,,,,
0.7899363040924072,3,189,,,,,,,,,,
1.3762588500976562,3,199,,,,,,,,,,
,3,207,0.6809009909629822,0.44653239846229553,0.2361111044883728,0.8561570048332214,0.5259661078453064,,,,,
1.6241395473480225,4,209,,,,,,,,,,
1.0015910863876343,4,219,,,,,,,,,,
0.9492615461349487,4,229,,,,,,,,,,
1.0170238018035889,4,239,,,,,,,,,,
0.8991063237190247,4,249,,,,,,,,,,
0.1575792282819748,4,259,,,,,,,,,,
,4,259,0.6694076657295227,0.44256070256233215,0.23148147761821747,0.8551545143127441,0.5241873860359192,,,,,
,5,260,,,,,,0.5241873860359192,0.6694076657295227,0.23148147761821747,0.8551545143127441,0.44256070256233215
