train_loss,epoch,step,val_loss,val_qa_sas,val_qa_em,val_qa_bert_score,val_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss
1.3234907388687134,0,9,,,,,,,,,,
1.1973060369491577,0,19,,,,,,,,,,
0.7988071441650391,0,29,,,,,,,,,,
1.0056475400924683,0,39,,,,,,,,,,
0.508902370929718,0,49,,,,,,,,,,
0.6373512148857117,0,59,,,,,,,,,,
,0,61,0.49918225407600403,0.25084397196769714,0.19491524994373322,0.7982728481292725,0.2755204737186432,,,,,
0.46087363362312317,1,69,,,,,,,,,,
0.3950802981853485,1,79,,,,,,,,,,
0.31559431552886963,1,89,,,,,,,,,,
0.4722406566143036,1,99,,,,,,,,,,
0.5155400633811951,1,109,,,,,,,,,,
0.5520829558372498,1,119,,,,,,,,,,
,1,123,0.4128311276435852,0.309079110622406,0.25847458839416504,0.8145351409912109,0.33527830243110657,,,,,
0.520927906036377,2,129,,,,,,,,,,
0.5065692067146301,2,139,,,,,,,,,,
0.37525227665901184,2,149,,,,,,,,,,
0.2535513639450073,2,159,,,,,,,,,,
0.39898353815078735,2,169,,,,,,,,,,
0.282212495803833,2,179,,,,,,,,,,
,2,185,0.3592503070831299,0.32902297377586365,0.27966102957725525,0.8248181939125061,0.35033389925956726,,,,,
0.3501632511615753,3,189,,,,,,,,,,
0.3376806378364563,3,199,,,,,,,,,,
0.44933822751045227,3,209,,,,,,,,,,
0.3599297106266022,3,219,,,,,,,,,,
0.33173149824142456,3,229,,,,,,,,,,
0.3110255002975464,3,239,,,,,,,,,,
,3,247,0.3311680257320404,0.36804866790771484,0.32203391194343567,0.8341129422187805,0.3943176567554474,,,,,
0.3428020179271698,4,249,,,,,,,,,,
0.33343568444252014,4,259,,,,,,,,,,
0.3291042447090149,4,269,,,,,,,,,,
0.25593316555023193,4,279,,,,,,,,,,
0.189582958817482,4,289,,,,,,,,,,
0.205338716506958,4,299,,,,,,,,,,
0.22746248543262482,4,309,,,,,,,,,,
,4,309,0.327511727809906,0.40790972113609314,0.3644067943096161,0.8478335738182068,0.4329724907875061,,,,,
,5,310,,,,,,0.40790972113609314,0.3644067943096161,0.4329724907875061,0.8478335738182068,0.327511727809906
