train_loss,epoch,step,val_loss,val_qa_sas,val_qa_em,val_qa_bert_score,val_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss
1.552996039390564,0,9,,,,,,,,,,
1.2509233951568604,0,19,,,,,,,,,,
1.069163203239441,0,29,,,,,,,,,,
0.7522718906402588,0,39,,,,,,,,,,
0.6190321445465088,0,49,,,,,,,,,,
0.32567736506462097,0,59,,,,,,,,,,
,0,62,0.4917178153991699,0.28663018345832825,0.21145375072956085,0.7974104285240173,0.31599727272987366,,,,,
0.516482412815094,1,69,,,,,,,,,,
0.45252934098243713,1,79,,,,,,,,,,
0.5053128600120544,1,89,,,,,,,,,,
0.6541759371757507,1,99,,,,,,,,,,
0.5859933495521545,1,109,,,,,,,,,,
0.416732519865036,1,119,,,,,,,,,,
,1,125,0.37003424763679504,0.39883536100387573,0.3480176329612732,0.8369170427322388,0.41848528385162354,,,,,
0.6125034093856812,2,129,,,,,,,,,,
0.30448856949806213,2,139,,,,,,,,,,
0.5281199216842651,2,149,,,,,,,,,,
0.3560764193534851,2,159,,,,,,,,,,
0.28054139018058777,2,169,,,,,,,,,,
0.3350757658481598,2,179,,,,,,,,,,
,2,188,0.3201870322227478,0.42674532532691956,0.36563876271247864,0.8402764797210693,0.4328162968158722,,,,,
0.3658532202243805,3,189,,,,,,,,,,
0.41855499148368835,3,199,,,,,,,,,,
0.2882319390773773,3,209,,,,,,,,,,
0.4605535864830017,3,219,,,,,,,,,,
0.27403032779693604,3,229,,,,,,,,,,
0.4336863160133362,3,239,,,,,,,,,,
0.5326359868049622,3,249,,,,,,,,,,
,3,251,0.2949471175670624,0.4479023218154907,0.40528634190559387,0.854126513004303,0.47444915771484375,,,,,
0.26205548644065857,4,259,,,,,,,,,,
0.13587655127048492,4,269,,,,,,,,,,
0.27065902948379517,4,279,,,,,,,,,,
0.39056864380836487,4,289,,,,,,,,,,
0.3453291356563568,4,299,,,,,,,,,,
0.3953883647918701,4,309,,,,,,,,,,
,4,314,0.2791382372379303,0.4902991056442261,0.453744500875473,0.8651050925254822,0.5108654499053955,,,,,
,5,315,,,,,,0.4902991056442261,0.453744500875473,0.5108654499053955,0.8651050925254822,0.2791382372379303
