epoch,train_loss,step,val_qa_answer_f1,val_qa_sas,val_loss,val_qa_bert_score,val_qa_em,test_loss
0,0.9770320653915405,9,,,,,,
0,0.33513715863227844,19,,,,,,
0,0.6705353260040283,29,,,,,,
0,0.22874341905117035,39,,,,,,
0,0.31631675362586975,49,,,,,,
0,0.28160178661346436,59,,,,,,
0,0.29913008213043213,69,,,,,,
0,0.3029286563396454,79,,,,,,
0,,80,0.298926442861557,0.34520837664604187,0.09600456058979034,0.7935766577720642,0.22777777910232544,
1,0.14431551098823547,89,,,,,,
1,0.25560539960861206,99,,,,,,
1,0.21900618076324463,109,,,,,,
1,0.22997090220451355,119,,,,,,
1,0.2542416751384735,129,,,,,,
1,0.23444043099880219,139,,,,,,
1,0.14129142463207245,149,,,,,,
1,0.33319586515426636,159,,,,,,
1,,161,0.35888901352882385,0.3710640072822571,0.07418302446603775,0.8106176257133484,0.2944444417953491,
2,0.09352444857358932,169,,,,,,
2,0.08881425112485886,179,,,,,,
2,0.16665367782115936,189,,,,,,
2,0.10781968384981155,199,,,,,,
2,0.14656391739845276,209,,,,,,
2,0.2924562990665436,219,,,,,,
2,0.16074256598949432,229,,,,,,
2,0.10287342220544815,239,,,,,,
2,,242,0.4121330678462982,0.40942835807800293,0.06499601900577545,0.8275694251060486,0.35555556416511536,
3,0.08751080930233002,249,,,,,,
3,0.10946889966726303,259,,,,,,
3,0.16178318858146667,269,,,,,,
3,0.075801782310009,279,,,,,,
3,0.09949243068695068,289,,,,,,
3,0.11341694742441177,299,,,,,,
3,0.10055140405893326,309,,,,,,
3,0.0392809696495533,319,,,,,,
3,,323,0.46170201897621155,0.459570050239563,0.06647395342588425,0.8415147662162781,0.4055555462837219,
4,0.05530930683016777,329,,,,,,
4,0.0584450289607048,339,,,,,,
4,0.04124582186341286,349,,,,,,
4,0.04410971328616142,359,,,,,,
4,0.09873049706220627,369,,,,,,
4,0.07676361501216888,379,,,,,,
4,0.03249141946434975,389,,,,,,
4,0.05622730404138565,399,,,,,,
4,,404,0.4880267381668091,0.4713112413883209,0.07044217735528946,0.8510836362838745,0.4277777671813965,
5,,405,,,,,,0.07044217735528946
