train_loss,epoch,step,val_qa_bert_score,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_bert_score,test_loss
1.6038525104522705,0,9,,,,,,,,,,
1.2883696556091309,0,19,,,,,,,,,,
1.6394946575164795,0,29,,,,,,,,,,
1.4839388132095337,0,39,,,,,,,,,,
1.0463528633117676,0,49,,,,,,,,,,
,0,51,0.868561327457428,0.5004262328147888,0.6762402653694153,0.24537037312984467,0.5845249891281128,,,,,
2.061591386795044,1,59,,,,,,,,,,
1.311066746711731,1,69,,,,,,,,,,
1.6909335851669312,1,79,,,,,,,,,,
1.1700282096862793,1,89,,,,,,,,,,
0.6538805365562439,1,99,,,,,,,,,,
,1,103,0.8718377947807312,0.5106402039527893,0.6410106420516968,0.25925925374031067,0.5969761610031128,,,,,
1.023616075515747,2,109,,,,,,,,,,
0.8770226836204529,2,119,,,,,,,,,,
1.2948375940322876,2,129,,,,,,,,,,
1.625859022140503,2,139,,,,,,,,,,
0.6011107563972473,2,149,,,,,,,,,,
,2,155,0.879832923412323,0.5440007448196411,0.6282152533531189,0.30092594027519226,0.6242152452468872,,,,,
0.7782208323478699,3,159,,,,,,,,,,
0.8919326066970825,3,169,,,,,,,,,,
0.7472189664840698,3,179,,,,,,,,,,
0.9736054539680481,3,189,,,,,,,,,,
1.1517300605773926,3,199,,,,,,,,,,
,3,207,0.8794087767601013,0.5419337749481201,0.6128026247024536,0.28703704476356506,0.6192626953125,,,,,
1.5427602529525757,4,209,,,,,,,,,,
0.9789083003997803,4,219,,,,,,,,,,
0.8044294714927673,4,229,,,,,,,,,,
0.9702279567718506,4,239,,,,,,,,,,
1.2344175577163696,4,249,,,,,,,,,,
0.1520383208990097,4,259,,,,,,,,,,
,4,259,0.8809839487075806,0.5475264191627502,0.6075093746185303,0.29629629850387573,0.6224713921546936,,,,,
,5,260,,,,,,0.6224713921546936,0.5475264191627502,0.29629629850387573,0.8809839487075806,0.6075093746185303
