em_testing,f1_score_testing,sas_testing,fold,gold_answers,model_answers
0.0,0.4000000059604645,0.654071569442749,0,1 cup butterscotch chips,"1 cup butter (no substitutes), softened"
0.0,0.0,0.26877129077911377,0,1/2 cup packed brown sugar,"1) In a mixing bowl, cream butter and sugars."
0.0,0.0,0.06275760382413864,0,2 teaspoons vanilla extract,1/2 cup packed brown sugar
0.0,0.0,0.008803877979516983,0,1/4 cup water,3) Beat in melted chips.
0.0,0.0,0.04948561266064644,0,4 cups confectioners' sugar,1 1/2 teaspoons vanilla extract
0.0,0.0,0.009244482964277267,0,"0) In a microwave, melt butterscotch chips; cool for 10 minutes.",4 cups confectioners' sugar
0.0,0.0,0.009334356524050236,0,<no_answer>,10 minutes
0.0,0.095238097012043,0.03946338966488838,0,"1) In a mixing bowl, cream butter and sugars.",7) Cut with a floured 4-1/2-in. gingerbread man cookie cutter and a 3-in. round cutter.
1.0,1.0,0.9718679189682007,0,"2) Add egg, milk and vanilla; mix well.","2) Add egg, milk and vanilla; mix well."
0.0,0.1538461595773697,0.13402894139289856,0,3) Beat in melted chips.,"1) In a mixing bowl, cream butter and sugars."
0.0,0.0,0.008880054578185081,0,<no_answer>,"1) In a mixing bowl, cream butter and sugars."
0.0,0.0,0.030495306476950645,0,5) Cover and refrigerate for 1 hour.,4) Gradually add flour; mix well.
1.0,1.0,0.9712697267532349,0,"6) On a floured surface, roll out dough to 1/4-in. thickness.","6) On a floured surface, roll out dough to 1/4-in. thickness."
1.0,1.0,0.9707000255584717,0,7) Cut with a floured 4-1/2-in. gingerbread man cookie cutter and a 3-in. round cutter.,7) Cut with a floured 4-1/2-in. gingerbread man cookie cutter and a 3-in. round cutter.
0.0,0.095238097012043,0.12255704402923584,0,7) Cut with a floured 4-1/2-in. gingerbread man cookie cutter and a 3-in. round cutter.,"1) In a mixing bowl, cream butter and sugars."
0.0,0.0,0.1385200321674347,0,8) Place 2 in. apart on greased baking sheets.,7) Cut with a floured 4-1/2-in. gingerbread man cookie cutter and a 3-in. round cutter.
1.0,1.0,0.9692531824111938,0,9) Bake at 375 degrees F for 5-8 minutes or until edges are lightly browned.,9) Bake at 375 degrees F for 5-8 minutes or until edges are lightly browned.
0.0,0.0,0.014744537882506847,0,<no_answer>,9) Bake at 375 degrees F for 5-8 minutes or until edges are lightly browned.
0.0,0.07692307978868484,0.06300391256809235,0,"11) For frosting, combine shortening, water, flour and vanilla in a mixing bowl; mix well.",10) Cool for 1 minute; remove to wire racks to cool completely.
1.0,1.0,0.9678500294685364,0,12) gradually beat in sugar.,12) gradually beat in sugar.
0.0,0.0,0.008880054578185081,0,<no_answer>,"1) In a mixing bowl, cream butter and sugars."
1.0,1.0,0.9722989201545715,0,13) Place 1 cup frosting in a plastic bag; cut a small hole in corner of bag.,13) Place 1 cup frosting in a plastic bag; cut a small hole in corner of bag.
0.0,0.43478259444236755,0.38194626569747925,0,14) Pipe shirt and shorts on players.,"14) Pipe lines on round cookies to create basketballs; pipe hair, eyes and noses on players."
0.0,0.1818181872367859,0.09197158366441727,0,15) Fill in outline and smooth with a metal spatula.,7) Cut with a floured 4-1/2-in. gingerbread man cookie cutter and a 3-in. round cutter.
0.0,0.10526315867900848,0.009629004634916782,0,16) Tint 1/4 cup frosting black; place in a plastic bag.,15) Fill in outline and smooth with a metal spatula.
1.0,1.0,0.9701302647590637,0,"17) Pipe lines on round cookies to create basketballs; pipe hair, eyes and noses on players.","17) Pipe lines on round cookies to create basketballs; pipe hair, eyes and noses on players."
0.0,0.0,0.009051987901329994,0,18) Tint 1/4 cup frosting red; pipe a mouth on each player.,15) Fill in outline and smooth with a metal spatula.
1.0,1.0,0.971540629863739,0,19) Tint remaining frosting to match team colors of your choice; pipe around shirts and shorts and add a letter on shirts if desired.,19) Tint remaining frosting to match team colors of your choice; pipe around shirts and shorts and add a letter on shirts if desired.
1.0,1.0,0.971540629863739,0,19) Tint remaining frosting to match team colors of your choice; pipe around shirts and shorts and add a letter on shirts if desired.,19) Tint remaining frosting to match team colors of your choice; pipe around shirts and shorts and add a letter on shirts if desired.
0.0,0.20000000298023224,0.5706903338432312,0,1 (16 ounce) can frozen lemonade concentrate,1) Freeze overnight.
0.0,0.0,0.11050623655319214,0,1 (16 ounce) can frozen lemonade concentrate,2 quarts cranberry juice
0.0,0.0625,0.35468152165412903,0,"0) In a plastic container, mix together cherry brandy, orange juice concentrate, lemonade concentrate, and cranberry juice.","2) To serve, scoop desired amount of frozen mixture into a glass, and fill with lemon-lime soda."
0.0,0.0625,0.35468152165412903,0,"0) In a plastic container, mix together cherry brandy, orange juice concentrate, lemonade concentrate, and cranberry juice.","2) To serve, scoop desired amount of frozen mixture into a glass, and fill with lemon-lime soda."
0.0,0.0,0.008790352381765842,0,1) Freeze overnight.,2 quarts cranberry juice
1.0,1.0,0.9728672504425049,0,"2) To serve, scoop desired amount of frozen mixture into a glass, and fill with lemon-lime soda.","2) To serve, scoop desired amount of frozen mixture into a glass, and fill with lemon-lime soda."
0.0,0.0,0.01070802379399538,0,<no_answer>,"2) To serve, scoop desired amount of frozen mixture into a glass, and fill with lemon-lime soda."
0.0,0.20000000298023224,0.4905792474746704,0,1 cup quick-cooking oats,1 1/2 cups toasted wheat germ
0.0,0.0,0.1184745579957962,0,2 teaspoons baking powder,1 cup packed brown sugar
0.0,0.25,0.12144088745117188,0,1/2 cup unsweetened applesauce,1 cup quick-cooking oats
0.0,0.0,0.04416593536734581,0,"2 egg, lightly beaten",1/2 cup canola oil
0.0,0.4000000059604645,0.15700463950634003,0,1/2 cup chopped walnuts or pecans,1/2 cup unsweetened applesauce
0.0,0.0,0.199462428689003,0,"0) In a large mixing bowl, combine the first six ingredients.",6) Bake at 350 degrees F for 10-12 minutes or until edges are lightly browned and cookies are set.
1.0,1.0,0.9712038040161133,0,"1) Combine the applesauce, oil and eggs.","1) Combine the applesauce, oil and eggs."
0.0,0.0,0.01141061820089817,0,<no_answer>,2) Add to the flour mixture; mix well.
1.0,1.0,0.9702214002609253,0,3) Stir in the chocolate chip and walnuts.,3) Stir in the chocolate chip and walnuts.
1.0,1.0,0.972690224647522,0,4) Drop by rounded teaspoonfuls 2 in apart onto baking sheets coated with nonstick cooking spray.,4) Drop by rounded teaspoonfuls 2 in apart onto baking sheets coated with nonstick cooking spray.
0.0,0.0,0.12837989628314972,0,4) Drop by rounded teaspoonfuls 2 in apart onto baking sheets coated with nonstick cooking spray.,"1) Combine the applesauce, oil and eggs."
0.0,0.0,0.052520785480737686,0,5) Flatten slightly with a glass bottom coated with nonstick cooking spray.,"1) Combine the applesauce, oil and eggs."
0.0,0.07692307978868484,0.2646867036819458,0,6) Bake at 350 degrees F for 10-12 minutes or until edges are lightly browned and cookies are set.,3) Stir in the chocolate chip and walnuts.
0.0,0.0,0.05701829493045807,0,7) Cool for 1 minute before removing to wire racks.,5) Flatten slightly with a glass bottom coated with nonstick cooking spray.
1.0,1.0,0.9695385098457336,0,1 cup white sugar,1 cup white sugar
0.0,0.10526315867900848,0.020619740709662437,0,1 teaspoon vanilla extract,"1) In a large bowl, cream together the butter, oil, brown sugar, and white sugar until smooth."
0.0,0.0,0.03363383933901787,0,4 teaspoons cream of tartar,1 cup packed brown sugar
0.0,0.0,0.018051739782094955,0,4 teaspoons cream of tartar,1 cup butter
1.0,1.0,0.9694415926933289,0,4 teaspoons cream of tartar,4 teaspoons cream of tartar
0.0,0.3333333432674408,0.41362854838371277,0,2 cups semisweet chocolate chips,4) Mix in the chocolate chips and walnuts.
