train_loss,epoch,step,val_qa_bert_score,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_bert_score,test_loss
1.2905073165893555,0,9,,,,,,,,,,
1.0094354152679443,0,19,,,,,,,,,,
0.5650960803031921,0,29,,,,,,,,,,
2.9882442951202393,0,39,,,,,,,,,,
1.4899641275405884,0,49,,,,,,,,,,
,0,54,0.8425388932228088,0.4006319046020508,1.0962098836898804,0.12345679104328156,0.5387517809867859,,,,,
0.3482082486152649,1,59,,,,,,,,,,
1.227247953414917,1,69,,,,,,,,,,
2.941190719604492,1,79,,,,,,,,,,
0.8899948000907898,1,89,,,,,,,,,,
1.2159990072250366,1,99,,,,,,,,,,
0.5971567034721375,1,109,,,,,,,,,,
,1,109,0.8531704545021057,0.4440435767173767,1.0650743246078491,0.1419753134250641,0.5537775158882141,,,,,
1.568164587020874,2,119,,,,,,,,,,
0.7289658784866333,2,129,,,,,,,,,,
1.2480114698410034,2,139,,,,,,,,,,
1.211696743965149,2,149,,,,,,,,,,
0.9227808117866516,2,159,,,,,,,,,,
,2,164,0.8587961196899414,0.4602338671684265,1.043777346611023,0.1666666716337204,0.5591042041778564,,,,,
1.3314650058746338,3,169,,,,,,,,,,
1.0534056425094604,3,179,,,,,,,,,,
0.8597884178161621,3,189,,,,,,,,,,
0.6476700305938721,3,199,,,,,,,,,,
1.5497421026229858,3,209,,,,,,,,,,
1.1817760467529297,3,219,,,,,,,,,,
,3,219,0.8553218841552734,0.45885729789733887,1.0296863317489624,0.1666666716337204,0.5767045617103577,,,,,
1.7026129961013794,4,229,,,,,,,,,,
0.6265116930007935,4,239,,,,,,,,,,
0.9454931020736694,4,249,,,,,,,,,,
0.9050893187522888,4,259,,,,,,,,,,
1.2317006587982178,4,269,,,,,,,,,,
,4,274,0.8567989468574524,0.4635211229324341,1.0182596445083618,0.16049382090568542,0.5794788599014282,,,,,
,5,275,,,,,,0.5794788599014282,0.4635211229324341,0.16049382090568542,0.8567989468574524,1.0182596445083618
