train_loss,epoch,step,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_qa_em,val_loss,test_loss
0.7823603749275208,0,9,,,,,,
0.6739524602890015,0,19,,,,,,
0.6101426482200623,0,29,,,,,,
0.6241998672485352,0,39,,,,,,
0.37926381826400757,0,49,,,,,,
0.20271798968315125,0,59,,,,,,
0.5505083799362183,0,69,,,,,,
0.30169418454170227,0,79,,,,,,
,0,83,0.7967959046363831,0.3379793167114258,0.30634805560112,0.23417721688747406,0.0859011560678482,
0.295538991689682,1,89,,,,,,
0.195438414812088,1,99,,,,,,
0.19826477766036987,1,109,,,,,,
0.2658531665802002,1,119,,,,,,
0.16119548678398132,1,129,,,,,,
0.25917911529541016,1,139,,,,,,
0.26154693961143494,1,149,,,,,,
nan,1,159,,,,,,
,1,167,0.824508547782898,0.4003974199295044,0.40459176898002625,0.33544304966926575,0.08334071934223175,
0.12745432555675507,2,169,,,,,,
0.32994821667671204,2,179,,,,,,
0.18019098043441772,2,189,,,,,,
0.14435817301273346,2,199,,,,,,
0.15100595355033875,2,209,,,,,,
0.10705587267875671,2,219,,,,,,
0.08963699638843536,2,229,,,,,,
0.14494594931602478,2,239,,,,,,
0.095728799700737,2,249,,,,,,
,2,251,0.8390232920646667,0.4396282136440277,0.4432152807712555,0.37974682450294495,0.08111286163330078,
0.1044134795665741,3,259,,,,,,
0.08476198464632034,3,269,,,,,,
0.10608901083469391,3,279,,,,,,
0.09054883569478989,3,289,,,,,,
0.09241426736116409,3,299,,,,,,
0.14205661416053772,3,309,,,,,,
0.06986593455076218,3,319,,,,,,
0.10493919998407364,3,329,,,,,,
,3,335,0.8359439373016357,0.4363503158092499,0.4412001967430115,0.3734177350997925,0.08232496678829193,
0.07515206187963486,4,339,,,,,,
0.07150451838970184,4,349,,,,,,
0.06664421409368515,4,359,,,,,,
0.07619217783212662,4,369,,,,,,
0.03636948764324188,4,379,,,,,,
0.06271775811910629,4,389,,,,,,
0.0373326912522316,4,399,,,,,,
0.06524582952260971,4,409,,,,,,
0.019754884764552116,4,419,,,,,,
,4,419,0.8361672163009644,0.45121389627456665,0.45147114992141724,0.39240506291389465,0.08764197677373886,
,5,420,,,,,,0.08764197677373886
