train_loss,step,epoch,val_qa_sas,val_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_em,test_avg_qa_sas,test_avg_qa_em,test_loss,test_avg_qa_bert_score,test_avg_qa_answer_f1
1.767098069190979,9,0,,,,,,,,,,
1.2604528665542603,19,0,,,,,,,,,,
1.2002933025360107,29,0,,,,,,,,,,
1.029376745223999,39,0,,,,,,,,,,
1.8875716924667358,49,0,,,,,,,,,,
,53,0,0.5312703251838684,1.4814789295196533,0.8482987880706787,0.49981117248535156,0.32972973585128784,,,,,
1.5710662603378296,59,1,,,,,,,,,,
1.1944299936294556,69,1,,,,,,,,,,
1.8581336736679077,79,1,,,,,,,,,,
1.8487831354141235,89,1,,,,,,,,,,
1.4405900239944458,99,1,,,,,,,,,,
,107,1,0.5522868037223816,1.2923885583877563,0.8550640940666199,0.516973078250885,0.36216217279434204,,,,,
1.7170438766479492,109,2,,,,,,,,,,
1.708113431930542,119,2,,,,,,,,,,
0.6210914254188538,129,2,,,,,,,,,,
6.497668743133545,139,2,,,,,,,,,,
1.2236504554748535,149,2,,,,,,,,,,
0.9449296593666077,159,2,,,,,,,,,,
,161,2,0.57379150390625,1.24347984790802,0.8624191880226135,0.5410552024841309,0.3729729652404785,,,,,
1.0039955377578735,169,3,,,,,,,,,,
3.9509499073028564,179,3,,,,,,,,,,
1.131205677986145,189,3,,,,,,,,,,
1.358760118484497,199,3,,,,,,,,,,
0.9737314581871033,209,3,,,,,,,,,,
,215,3,0.5801594853401184,1.1747806072235107,0.8650471568107605,0.5385326743125916,0.3837837874889374,,,,,
0.5353017449378967,219,4,,,,,,,,,,
0.769503653049469,229,4,,,,,,,,,,
0.8328256011009216,239,4,,,,,,,,,,
0.46484583616256714,249,4,,,,,,,,,,
3.1978251934051514,259,4,,,,,,,,,,
1.0270309448242188,269,4,,,,,,,,,,
,269,4,0.5962931513786316,1.157625675201416,0.8733363151550293,0.5572971105575562,0.4054054021835327,,,,,
,270,5,,,,,,0.5962931513786316,0.4054054021835327,1.157625675201416,0.8733363151550293,0.5572971105575562
