epoch,train_loss,step,val_qa_em,val_qa_bert_score,val_qa_sas,val_loss,val_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score
0,2.0462121963500977,9,,,,,,,,,,
0,2.114999532699585,19,,,,,,,,,,
0,1.4778817892074585,29,,,,,,,,,,
0,1.1069577932357788,39,,,,,,,,,,
0,0.8462710976600647,49,,,,,,,,,,
0,,55,0.31446540355682373,0.841530442237854,0.47430419921875,1.5261833667755127,0.4436816871166229,,,,,
1,1.324278473854065,59,,,,,,,,,,
1,1.3718037605285645,69,,,,,,,,,,
1,0.8556456565856934,79,,,,,,,,,,
1,1.956567406654358,89,,,,,,,,,,
1,2.260246753692627,99,,,,,,,,,,
1,1.3631579875946045,109,,,,,,,,,,
1,,111,0.3899371027946472,0.8515790700912476,0.508056640625,1.3813679218292236,0.48480674624443054,,,,,
2,1.420467495918274,119,,,,,,,,,,
2,1.2291780710220337,129,,,,,,,,,,
2,1.4552719593048096,139,,,,,,,,,,
2,1.2764605283737183,149,,,,,,,,,,
2,1.1581673622131348,159,,,,,,,,,,
2,,167,0.3962264060974121,0.8550471067428589,0.5086669921875,1.3159695863723755,0.4907675087451935,,,,,
3,1.3740108013153076,169,,,,,,,,,,
3,0.9409847855567932,179,,,,,,,,,,
3,1.043741226196289,189,,,,,,,,,,
3,1.3818473815917969,199,,,,,,,,,,
3,1.4225810766220093,209,,,,,,,,,,
3,1.7816822528839111,219,,,,,,,,,,
3,,223,0.3836477994918823,0.8539106249809265,0.51153564453125,1.2647087574005127,0.487043172121048,,,,,
4,0.904595673084259,229,,,,,,,,,,
4,0.6404839754104614,239,,,,,,,,,,
4,0.9433622360229492,249,,,,,,,,,,
4,0.7376089096069336,259,,,,,,,,,,
4,0.5613068342208862,269,,,,,,,,,,
4,0.8310976624488831,279,,,,,,,,,,
4,,279,0.4088050425052643,0.8557392358779907,0.51300048828125,1.265915870666504,0.4883289337158203,,,,,
5,,280,,,,,,1.265915870666504,0.4088050425052643,0.4883289337158203,0.51300048828125,0.8557392358779907
