train_loss,step,epoch,val_qa_em,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score,test_loss
1.6144301891326904,9,0,,,,,,,,,,
1.322675108909607,19,0,,,,,,,,,,
1.1400738954544067,29,0,,,,,,,,,,
0.6388290524482727,39,0,,,,,,,,,,
,41,0,0.18518517911434174,0.4906366467475891,0.2646373510360718,0.2615305781364441,0.7912302613258362,,,,,
0.6239399313926697,49,1,,,,,,,,,,
0.3437242805957794,59,1,,,,,,,,,,
0.48072752356529236,69,1,,,,,,,,,,
0.3774380087852478,79,1,,,,,,,,,,
,83,1,0.29629629850387573,0.3638836145401001,0.39303866028785706,0.3678266406059265,0.8346405029296875,,,,,
0.5787026882171631,89,2,,,,,,,,,,
0.38666120171546936,99,2,,,,,,,,,,
0.4405273497104645,109,2,,,,,,,,,,
0.4079035222530365,119,2,,,,,,,,,,
,125,2,0.3395061790943146,0.31327950954437256,0.4286665618419647,0.39992856979370117,0.8366034030914307,,,,,
0.3472560942173004,129,3,,,,,,,,,,
0.46202352643013,139,3,,,,,,,,,,
0.4906798303127289,149,3,,,,,,,,,,
0.2890603840351105,159,3,,,,,,,,,,
,167,3,0.34567901492118835,0.30376341938972473,0.3920454680919647,0.3947228193283081,0.828331708908081,,,,,
0.5255923867225647,169,4,,,,,,,,,,
0.4132968783378601,179,4,,,,,,,,,,
0.32816603779792786,189,4,,,,,,,,,,
0.2991555631160736,199,4,,,,,,,,,,
0.22795459628105164,209,4,,,,,,,,,,
,209,4,0.40740740299224854,0.2893544137477875,0.47682884335517883,0.4562099575996399,0.8566093444824219,,,,,
,210,5,,,,,,0.40740740299224854,0.4562099575996399,0.47682884335517883,0.8566093444824219,0.2893544137477875
