train_loss,epoch,step,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_answer_f1
1.6690725088119507,0,9,,,,,,,,,,
1.2546924352645874,0,19,,,,,,,,,,
0.9924055933952332,0,29,,,,,,,,,,
0.7722351551055908,0,39,,,,,,,,,,
0.6107264161109924,0,49,,,,,,,,,,
0.7134970426559448,0,59,,,,,,,,,,
,0,60,0.3038790225982666,0.3222012519836426,0.8187260627746582,0.4175414741039276,0.23166023194789886,,,,,
0.431002140045166,1,69,,,,,,,,,,
0.6778914928436279,1,79,,,,,,,,,,
0.4177720248699188,1,89,,,,,,,,,,
0.3762730062007904,1,99,,,,,,,,,,
0.39169248938560486,1,109,,,,,,,,,,
0.6375409960746765,1,119,,,,,,,,,,
,1,121,0.3183932602405548,0.3643989861011505,0.8234201073646545,0.3584098815917969,0.27799227833747864,,,,,
0.3658856451511383,2,129,,,,,,,,,,
0.6336092948913574,2,139,,,,,,,,,,
0.41435012221336365,2,149,,,,,,,,,,
0.5477876663208008,2,159,,,,,,,,,,
0.49589404463768005,2,169,,,,,,,,,,
0.5041927099227905,2,179,,,,,,,,,,
,2,182,0.35396721959114075,0.4014503061771393,0.8370764851570129,0.3244480490684509,0.31274130940437317,,,,,
0.6487201452255249,3,189,,,,,,,,,,
0.3137219250202179,3,199,,,,,,,,,,
0.22416391968727112,3,209,,,,,,,,,,
0.29811063408851624,3,219,,,,,,,,,,
0.5124767422676086,3,229,,,,,,,,,,
0.2560567259788513,3,239,,,,,,,,,,
,3,243,0.3720955550670624,0.415679931640625,0.8404632806777954,0.30718880891799927,0.33590734004974365,,,,,
0.37403741478919983,4,249,,,,,,,,,,
0.30747494101524353,4,259,,,,,,,,,,
0.43614691495895386,4,269,,,,,,,,,,
0.35810959339141846,4,279,,,,,,,,,,
0.3352660536766052,4,289,,,,,,,,,,
0.26272618770599365,4,299,,,,,,,,,,
,4,304,0.4018375873565674,0.44864335656166077,0.8485754132270813,0.295241117477417,0.37451738119125366,,,,,
,5,305,,,,,,0.295241117477417,0.37451738119125366,0.8485754132270813,0.4018375873565674,0.44864335656166077
