epoch,train_loss,step,val_qa_answer_f1,val_qa_sas,val_loss,val_qa_bert_score,val_qa_em,test_loss
0,0.7613233923912048,9,,,,,,
0,0.5647591948509216,19,,,,,,
0,0.5283780097961426,29,,,,,,
0,0.2957405745983124,39,,,,,,
0,0.42305418848991394,49,,,,,,
0,0.17945635318756104,59,,,,,,
0,0.35126200318336487,69,,,,,,
0,0.32017895579338074,79,,,,,,
0,,81,0.2831021547317505,0.2705898582935333,0.11190802603960037,0.7854598164558411,0.1744185984134674,
1,0.24503332376480103,89,,,,,,
1,0.22002658247947693,99,,,,,,
1,0.3445722758769989,109,,,,,,
1,0.34768179059028625,119,,,,,,
1,0.16045060753822327,129,,,,,,
1,0.21707190573215485,139,,,,,,
1,0.13534511625766754,149,,,,,,
1,0.2817009389400482,159,,,,,,
1,,163,0.4600730836391449,0.42790764570236206,0.08359704911708832,0.837687075138092,0.38372093439102173,
2,0.12183164060115814,169,,,,,,
2,0.1945427805185318,179,,,,,,
2,0.12995772063732147,189,,,,,,
2,0.12680472433567047,199,,,,,,
2,0.09755856543779373,209,,,,,,
2,0.12136423587799072,219,,,,,,
2,0.11633574217557907,229,,,,,,
2,0.08835999667644501,239,,,,,,
2,,245,0.522876501083374,0.4671528935432434,0.07677814364433289,0.8535763025283813,0.43023255467414856,
3,0.0705050528049469,249,,,,,,
3,0.054604146629571915,259,,,,,,
3,0.16704627871513367,269,,,,,,
3,0.13288286328315735,279,,,,,,
3,0.11787230521440506,289,,,,,,
3,0.06614801287651062,299,,,,,,
3,0.08174411952495575,309,,,,,,
3,0.09751670062541962,319,,,,,,
3,,327,0.5528042912483215,0.5012291073799133,0.0805894136428833,0.8598070740699768,0.4651162922382355,
4,0.03891732916235924,329,,,,,,
4,0.07966381311416626,339,,,,,,
4,0.07651904225349426,349,,,,,,
4,0.029383985325694084,359,,,,,,
4,0.08138994872570038,369,,,,,,
4,0.04974456876516342,379,,,,,,
4,0.0534888356924057,389,,,,,,
4,0.05961393192410469,399,,,,,,
4,0.04820912331342697,409,,,,,,
4,,409,0.5806044936180115,0.5316634178161621,0.08702966570854187,0.8679180145263672,0.5058139562606812,
5,,410,,,,,,0.08702966570854187
