train_loss,step,epoch,val_qa_answer_f1,val_qa_em,val_loss,val_qa_bert_score,val_qa_sas,test_loss
0.12659357488155365,9,0,,,,,,
0.06222078204154968,19,0,,,,,,
0.06283215433359146,29,0,,,,,,
0.05273529887199402,39,0,,,,,,
0.07042665779590607,49,0,,,,,,
0.05691293254494667,59,0,,,,,,
0.06075001135468483,69,0,,,,,,
0.07784049957990646,79,0,,,,,,
0.07887942343950272,89,0,,,,,,
0.05409706011414528,99,0,,,,,,
0.061197429895401,109,0,,,,,,
0.033826712518930435,119,0,,,,,,
0.05471579357981682,129,0,,,,,,
0.05725795775651932,139,0,,,,,,
0.04963289201259613,149,0,,,,,,
0.04296548292040825,159,0,,,,,,
0.04314601421356201,169,0,,,,,,
0.04671134427189827,179,0,,,,,,
0.04720327630639076,189,0,,,,,,
,189,0,0.49941354990005493,0.4596100151538849,0.11161290109157562,0.8868510127067566,0.5566372275352478,
0.037360042333602905,199,1,,,,,,
0.049128636717796326,209,1,,,,,,
0.05532718449831009,219,1,,,,,,
0.04145345836877823,229,1,,,,,,
0.0511445626616478,239,1,,,,,,
0.04228171333670616,249,1,,,,,,
0.05518622323870659,259,1,,,,,,
0.03442169725894928,269,1,,,,,,
0.06934035569429398,279,1,,,,,,
0.04608675092458725,289,1,,,,,,
0.057503826916217804,299,1,,,,,,
0.03397820517420769,309,1,,,,,,
0.03172319009900093,319,1,,,,,,
0.04006747528910637,329,1,,,,,,
0.05158970504999161,339,1,,,,,,
0.026489773765206337,349,1,,,,,,
0.018404288217425346,359,1,,,,,,
0.030376331880688667,369,1,,,,,,
0.03997712954878807,379,1,,,,,,
,379,1,0.6621909141540527,0.6378830075263977,0.06596436351537704,0.9234200119972229,0.6872410774230957,
0.01689673401415348,389,2,,,,,,
0.04476168379187584,399,2,,,,,,
0.03409064561128616,409,2,,,,,,
0.020329149439930916,419,2,,,,,,
0.03371671959757805,429,2,,,,,,
0.016550112515687943,439,2,,,,,,
0.031906843185424805,449,2,,,,,,
0.015672773122787476,459,2,,,,,,
0.03443821147084236,469,2,,,,,,
0.039267804473638535,479,2,,,,,,
0.023919235914945602,489,2,,,,,,
0.011991153471171856,499,2,,,,,,
0.014180277474224567,509,2,,,,,,
0.021791009232401848,519,2,,,,,,
0.037844158709049225,529,2,,,,,,
0.008915320038795471,539,2,,,,,,
0.012764553539454937,549,2,,,,,,
0.013143479824066162,559,2,,,,,,
0.004143569152802229,569,2,,,,,,
,569,2,0.6729154586791992,0.6490250825881958,0.06543359905481339,0.926048994064331,0.6980022192001343,
0.009765168651938438,579,3,,,,,,
0.01667836867272854,589,3,,,,,,
nan,599,3,,,,,,
0.015333086252212524,609,3,,,,,,
0.02334621734917164,619,3,,,,,,
0.004175678361207247,629,3,,,,,,
0.01445901021361351,639,3,,,,,,
0.005496908910572529,649,3,,,,,,
0.02169097773730755,659,3,,,,,,
0.02806002087891102,669,3,,,,,,
0.006959124468266964,679,3,,,,,,
0.005237148609012365,689,3,,,,,,
0.006088150665163994,699,3,,,,,,
0.005933905020356178,709,3,,,,,,
0.022943198680877686,719,3,,,,,,
0.0028176612686365843,729,3,,,,,,
0.0052497657015919685,739,3,,,,,,
0.004625625442713499,749,3,,,,,,
0.0018939257133752108,759,3,,,,,,
,759,3,0.6754412651062012,0.6518105864524841,0.0804315134882927,0.9262855052947998,0.7000124454498291,
0.0034814185928553343,769,4,,,,,,
0.013455474749207497,779,4,,,,,,
0.03756970167160034,789,4,,,,,,
0.005434318911284208,799,4,,,,,,
0.009290382266044617,809,4,,,,,,
0.0037022035103291273,819,4,,,,,,
0.004746726248413324,829,4,,,,,,
0.001396506791934371,839,4,,,,,,
0.004549501929432154,849,4,,,,,,
0.005745158065110445,859,4,,,,,,
0.005776913370937109,869,4,,,,,,
0.002994642360135913,879,4,,,,,,
0.005045667290687561,889,4,,,,,,
0.007725232746452093,899,4,,,,,,
0.003988305572420359,909,4,,,,,,
0.0008104437147267163,919,4,,,,,,
0.0012170837726444006,929,4,,,,,,
0.0009397951071150601,939,4,,,,,,
0.0007827758672647178,949,4,,,,,,
,949,4,0.6700777411460876,0.6434540152549744,0.0971546620130539,0.9253577589988708,0.6991419792175293,
,950,5,,,,,,0.0971546620130539
