epoch,step,train_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,test_loss
0,9,0.8327492475509644,,,,,,
0,19,0.28645989298820496,,,,,,
0,29,0.50782710313797,,,,,,
0,39,0.30016911029815674,,,,,,
0,49,0.3834979236125946,,,,,,
0,59,0.3018166720867157,,,,,,
0,69,0.468805730342865,,,,,,
0,79,0.22862374782562256,,,,,,
0,80,,0.2944808006286621,0.791710376739502,0.33765727281570435,0.22777777910232544,0.09125766903162003,
1,89,0.18988089263439178,,,,,,
1,99,0.2721380889415741,,,,,,
1,109,0.19051019847393036,,,,,,
1,119,0.27410534024238586,,,,,,
1,129,0.2156699001789093,,,,,,
1,139,0.29313790798187256,,,,,,
1,149,0.14316575229167938,,,,,,
1,159,0.2907460629940033,,,,,,
1,161,,0.3975750803947449,0.8202410936355591,0.3977328836917877,0.3333333432674408,0.07691266387701035,
2,169,0.09078854322433472,,,,,,
2,179,0.0708443745970726,,,,,,
2,189,0.16628769040107727,,,,,,
2,199,0.11434821039438248,,,,,,
2,209,0.14411376416683197,,,,,,
2,219,0.11623947322368622,,,,,,
2,229,0.10820794850587845,,,,,,
2,239,0.10212721675634384,,,,,,
2,242,,0.43849414587020874,0.8351424336433411,0.42104098200798035,0.36666667461395264,0.06986168026924133,
3,249,0.08341026306152344,,,,,,
3,259,0.09024567902088165,,,,,,
3,269,0.17445990443229675,,,,,,
3,279,0.07731595635414124,,,,,,
3,289,0.12431648373603821,,,,,,
3,299,0.11053169518709183,,,,,,
3,309,0.11446236819028854,,,,,,
3,319,0.05423787608742714,,,,,,
3,323,,0.48694127798080444,0.8515501022338867,0.46717995405197144,0.4166666567325592,0.07172033935785294,
4,329,0.05781783163547516,,,,,,
4,339,0.07693684101104736,,,,,,
4,349,0.051213644444942474,,,,,,
4,359,0.034729957580566406,,,,,,
4,369,0.12120964378118515,,,,,,
4,379,0.05943613499403,,,,,,
4,389,0.03681643307209015,,,,,,
4,399,0.03816746175289154,,,,,,
4,404,,0.4926058351993561,0.849353551864624,0.46721556782722473,0.42222222685813904,0.07719940692186356,
5,405,,,,,,,0.07719940692186356
