train_loss,epoch,step,val_qa_bert_score,val_qa_sas,val_qa_em,val_qa_answer_f1,val_loss
1.4926393032073975,0,9,,,,,
1.1618690490722656,0,19,,,,,
0.739152193069458,0,29,,,,,
2.5680410861968994,0,39,,,,,
1.1589089632034302,0,49,,,,,
,0,54,0.7968076467514038,0.3587535619735718,0.06172839552164078,0.28066664934158325,1.3181662559509277
0.7525475025177002,1,59,,,,,
1.6332178115844727,1,69,,,,,
3.227714776992798,1,79,,,,,
0.9214617609977722,1,89,,,,,
1.0233091115951538,1,99,,,,,
1.3489794731140137,1,109,,,,,
