train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_meteor,val_qa_sas,test_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_meteor,test_avg_qa_sas
2.5056040287017822,0,9,,,,,,,,,,,,
11.54034423828125,0,19,,,,,,,,,,,,
1.6678900718688965,0,29,,,,,,,,,,,,
1.7713199853897095,0,39,,,,,,,,,,,,
,0,48,1.3464292287826538,0.4918023943901062,0.876789391040802,0.29411765933036804,0.5082667469978333,0.5603724718093872,,,,,,
1.2314010858535767,1,49,,,,,,,,,,,,
1.0972366333007812,1,59,,,,,,,,,,,,
0.7132866978645325,1,69,,,,,,,,,,,,
1.2860076427459717,1,79,,,,,,,,,,,,
1.6579467058181763,1,89,,,,,,,,,,,,
,1,97,1.1516773700714111,0.5164845585823059,0.8965612053871155,0.3438914120197296,0.5671268701553345,0.5649588704109192,,,,,,
1.2859512567520142,2,99,,,,,,,,,,,,
0.918022871017456,2,109,,,,,,,,,,,,
1.0898257493972778,2,119,,,,,,,,,,,,
1.6525542736053467,2,129,,,,,,,,,,,,
7.533276557922363,2,139,,,,,,,,,,,,
,2,146,1.0891213417053223,0.5328710675239563,0.9003958106040955,0.36199095845222473,0.5826393961906433,0.5756050944328308,,,,,,
0.937434196472168,3,149,,,,,,,,,,,,
0.825602114200592,3,159,,,,,,,,,,,,
1.545188546180725,3,169,,,,,,,,,,,,
0.437176913022995,3,179,,,,,,,,,,,,
0.434335857629776,3,189,,,,,,,,,,,,
,3,195,1.0518864393234253,0.5452930331230164,0.9036844372749329,0.38009050488471985,0.591806948184967,0.5847429633140564,,,,,,
0.801694393157959,4,199,,,,,,,,,,,,
1.0396548509597778,4,209,,,,,,,,,,,,
0.9871870279312134,4,219,,,,,,,,,,,,
0.45359006524086,4,229,,,,,,,,,,,,
1.0781340599060059,4,239,,,,,,,,,,,,
,4,244,1.0429340600967407,0.5465642809867859,0.9048019051551819,0.38009050488471985,0.5954219102859497,0.5881870985031128,,,,,,
,5,245,,,,,,,1.0429340600967407,0.5465642809867859,0.9048019051551819,0.38009050488471985,0.5954219102859497,0.5881870985031128
