epoch,step,train_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,test_loss
0,9,0.6901799440383911,,,,,,
0,19,0.5959832072257996,,,,,,
0,29,0.6241171956062317,,,,,,
0,39,0.7661682963371277,,,,,,
0,49,0.3863272964954376,,,,,,
0,59,0.287263959646225,,,,,,
0,69,0.24395255744457245,,,,,,
0,79,0.3191528022289276,,,,,,
0,83,,0.27328526973724365,0.7908646464347839,0.30561378598213196,0.2142857164144516,0.08852318674325943,
1,89,0.2666618824005127,,,,,,
1,99,0.3480755388736725,,,,,,
1,109,0.2434382289648056,,,,,,
1,119,0.2766057252883911,,,,,,
1,129,nan,,,,,,
1,139,0.29286494851112366,,,,,,
1,149,0.149511456489563,,,,,,
1,159,0.19674605131149292,,,,,,
1,167,,0.3752790093421936,0.8153808116912842,0.3719777464866638,0.3181818127632141,0.06702987104654312,
2,169,0.10242536664009094,,,,,,
2,179,0.0875500738620758,,,,,,
2,189,0.16814705729484558,,,,,,
2,199,0.12332351505756378,,,,,,
2,209,0.11195853352546692,,,,,,
2,219,0.13266737759113312,,,,,,
2,229,0.15892668068408966,,,,,,
2,239,0.15948426723480225,,,,,,
2,249,0.05065566301345825,,,,,,
2,251,,0.4361680746078491,0.8324212431907654,0.4144314229488373,0.38311687111854553,0.06281083077192307,
3,259,0.04135884344577789,,,,,,
3,269,0.0828474685549736,,,,,,
3,279,0.05758316069841385,,,,,,
3,289,0.09969735145568848,,,,,,
3,299,0.05884452164173126,,,,,,
3,309,0.052050214260816574,,,,,,
3,319,0.04655594378709793,,,,,,
3,329,0.09101488441228867,,,,,,
3,335,,0.4848632216453552,0.8445307612419128,0.45896050333976746,0.4285714328289032,0.06677959114313126,
4,339,0.05720388516783714,,,,,,
4,349,0.07968563586473465,,,,,,
4,359,0.03352208808064461,,,,,,
4,369,0.05200929939746857,,,,,,
4,379,0.042341116815805435,,,,,,
4,389,0.027326203882694244,,,,,,
4,399,0.041585423052310944,,,,,,
4,409,0.059640660881996155,,,,,,
4,419,0.06592540442943573,,,,,,
4,419,,0.49189189076423645,0.8454275727272034,0.468341588973999,0.44155845046043396,0.072596974670887,
5,420,,,,,,,0.072596974670887
