epoch,step,train_loss,val_qa_sas,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_sas
0,9,2.7934889793395996,,,,,,,,,,
0,19,1.915477991104126,,,,,,,,,,
0,29,1.7156811952590942,,,,,,,,,,
0,39,2.104693651199341,,,,,,,,,,
0,49,1.9197163581848145,,,,,,,,,,
0,55,,0.13464197516441345,0.7096377611160278,0.069182388484478,0.1046421155333519,1.4708629846572876,,,,,
1,59,1.469075083732605,,,,,,,,,,
1,69,1.5842654705047607,,,,,,,,,,
1,79,1.7448755502700806,,,,,,,,,,
1,89,1.2334754467010498,,,,,,,,,,
1,99,1.6174931526184082,,,,,,,,,,
1,109,1.6290639638900757,,,,,,,,,,
1,111,,0.23500387370586395,0.7438349723815918,0.15094339847564697,0.200514554977417,1.2437163591384888,,,,,
2,119,2.1594045162200928,,,,,,,,,,
2,129,1.3197168111801147,,,,,,,,,,
2,139,0.9331908226013184,,,,,,,,,,
2,149,0.664667546749115,,,,,,,,,,
2,159,1.4274789094924927,,,,,,,,,,
2,167,,0.3432118892669678,0.791144073009491,0.22012577950954437,0.2972809672355652,1.0753906965255737,,,,,
3,169,0.7274345755577087,,,,,,,,,,
3,179,1.2994234561920166,,,,,,,,,,
3,189,1.1890594959259033,,,,,,,,,,
3,199,1.3799519538879395,,,,,,,,,,
3,209,1.0323854684829712,,,,,,,,,,
3,219,0.9481508135795593,,,,,,,,,,
3,223,,0.4030836224555969,0.8099961280822754,0.2641509473323822,0.3671826422214508,1.0130101442337036,,,,,
4,229,1.0105994939804077,,,,,,,,,,
4,239,0.7228081822395325,,,,,,,,,,
4,249,1.7186473608016968,,,,,,,,,,
4,259,1.0287305116653442,,,,,,,,,,
4,269,0.6857689619064331,,,,,,,,,,
4,279,0.7118586897850037,,,,,,,,,,
4,279,,0.47246089577674866,0.832198977470398,0.3459119498729706,0.44052791595458984,0.9487564563751221,,,,,
5,280,,,,,,,0.44052791595458984,0.832198977470398,0.3459119498729706,0.9487564563751221,0.47246089577674866
