train_loss,step,epoch,val_qa_sas,val_loss,val_qa_em,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss,test_avg_qa_em
1.6164555549621582,9,0,,,,,,,,,,
1.286689043045044,19,0,,,,,,,,,,
0.8905484676361084,29,0,,,,,,,,,,
0.922538161277771,39,0,,,,,,,,,,
0.49217820167541504,49,0,,,,,,,,,,
0.753835141658783,59,0,,,,,,,,,,
,61,0,0.2513607442378998,0.5109909772872925,0.19491524994373322,0.2834019362926483,0.7961217164993286,,,,,
0.5433619618415833,69,1,,,,,,,,,,
0.4378308951854706,79,1,,,,,,,,,,
0.5168276429176331,89,1,,,,,,,,,,
0.6008281111717224,99,1,,,,,,,,,,
0.4050348699092865,109,1,,,,,,,,,,
0.4033696949481964,119,1,,,,,,,,,,
,123,1,0.3043736517429352,0.41830679774284363,0.24576270580291748,0.3287411034107208,0.8175942897796631,,,,,
0.4765915870666504,129,2,,,,,,,,,,
0.4437544345855713,139,2,,,,,,,,,,
0.4173869490623474,149,2,,,,,,,,,,
0.30748939514160156,159,2,,,,,,,,,,
0.3259889781475067,169,2,,,,,,,,,,
0.3174985647201538,179,2,,,,,,,,,,
,185,2,0.3653075098991394,0.348557710647583,0.31779661774635315,0.3920084536075592,0.8389538526535034,,,,,
0.3464319705963135,189,3,,,,,,,,,,
0.29614314436912537,199,3,,,,,,,,,,
0.21790459752082825,209,3,,,,,,,,,,
0.3465273082256317,219,3,,,,,,,,,,
0.3101651668548584,229,3,,,,,,,,,,
0.34961041808128357,239,3,,,,,,,,,,
,247,3,0.41094791889190674,0.3245585262775421,0.37288135290145874,0.43624868988990784,0.8498892188072205,,,,,
0.27509167790412903,249,4,,,,,,,,,,
0.337636262178421,259,4,,,,,,,,,,
0.2874446213245392,269,4,,,,,,,,,,
0.13917474448680878,279,4,,,,,,,,,,
0.2768065929412842,289,4,,,,,,,,,,
0.20130465924739838,299,4,,,,,,,,,,
0.36100077629089355,309,4,,,,,,,,,,
,309,4,0.4096930921077728,0.28987741470336914,0.3686440587043762,0.4310820400714874,0.8490293622016907,,,,,
,310,5,,,,,,0.8490293622016907,0.4310820400714874,0.4096930921077728,0.28987741470336914,0.3686440587043762
