epoch,train_loss,step,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,test_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1
0,0.9161269664764404,9,,,,,,,,,,
0,2.94111967086792,19,,,,,,,,,,
0,1.3468157052993774,29,,,,,,,,,,
0,1.0473482608795166,39,,,,,,,,,,
0,1.3954585790634155,49,,,,,,,,,,
0,,49,0.4500976502895355,0.3673354685306549,0.8258944749832153,1.4527407884597778,0.14166666567325592,,,,,
1,0.5490038394927979,59,,,,,,,,,,
1,0.8505316972732544,69,,,,,,,,,,
1,1.7419058084487915,79,,,,,,,,,,
1,0.7931711673736572,89,,,,,,,,,,
1,0.573211669921875,99,,,,,,,,,,
1,,99,0.4816650450229645,0.38049784302711487,0.8303042054176331,1.381454586982727,0.11666666716337204,,,,,
2,0.4182699918746948,109,,,,,,,,,,
2,0.7985925078392029,119,,,,,,,,,,
2,0.24674086272716522,129,,,,,,,,,,
2,1.609753966331482,139,,,,,,,,,,
2,1.0574430227279663,149,,,,,,,,,,
2,,149,0.4806152284145355,0.38392341136932373,0.8300103545188904,1.3472610712051392,0.125,,,,,
3,0.8024928569793701,159,,,,,,,,,,
3,0.5602240562438965,169,,,,,,,,,,
3,0.8718892931938171,179,,,,,,,,,,
3,0.9893736839294434,189,,,,,,,,,,
3,0.5878813862800598,199,,,,,,,,,,
3,,199,0.4788818359375,0.3804108500480652,0.8288935422897339,1.326988697052002,0.10833333432674408,,,,,
4,1.10673987865448,209,,,,,,,,,,
4,0.5515059232711792,219,,,,,,,,,,
4,0.6974535584449768,229,,,,,,,,,,
4,0.8194218873977661,239,,,,,,,,,,
4,0.6229382157325745,249,,,,,,,,,,
4,,249,0.49032390117645264,0.40095484256744385,0.8366527557373047,1.3154494762420654,0.125,,,,,
5,,250,,,,,,1.3154494762420654,0.8366527557373047,0.49032390117645264,0.125,0.40095484256744385
