step,epoch,train_loss,val_loss,val_qa_em,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,test_loss
9,0,1.2832237482070923,,,,,,
19,0,0.609216034412384,,,,,,
29,0,0.3377172350883484,,,,,,
39,0,0.45969825983047485,,,,,,
49,0,0.40232524275779724,,,,,,
59,0,0.3074466288089752,,,,,,
69,0,0.5537142753601074,,,,,,
79,0,0.3098723590373993,,,,,,
82,0,,0.10143108665943146,0.18518517911434174,0.26094505190849304,0.24144113063812256,0.7829951047897339,
89,1,0.145101398229599,,,,,,
99,1,0.28069162368774414,,,,,,
109,1,0.28925636410713196,,,,,,
119,1,0.22235947847366333,,,,,,
129,1,0.389621764421463,,,,,,
139,1,0.27059414982795715,,,,,,
149,1,0.2582497000694275,,,,,,
159,1,0.2164277881383896,,,,,,
165,1,,0.07701997458934784,0.2222222238779068,0.2802860736846924,0.2717023193836212,0.7906038761138916,
169,2,0.18754002451896667,,,,,,
179,2,0.22114458680152893,,,,,,
189,2,0.20890532433986664,,,,,,
199,2,0.17173589766025543,,,,,,
209,2,0.10907574743032455,,,,,,
219,2,0.10075452923774719,,,,,,
229,2,0.24877607822418213,,,,,,
239,2,0.18303407728672028,,,,,,
248,2,,0.07008948922157288,0.26543208956718445,0.3093758523464203,0.3050503134727478,0.7968252897262573,
249,3,0.16096758842468262,,,,,,
259,3,0.09460508823394775,,,,,,
269,3,0.20290260016918182,,,,,,
279,3,0.06966911256313324,,,,,,
289,3,0.0974961593747139,,,,,,
299,3,0.16113126277923584,,,,,,
309,3,0.1553315818309784,,,,,,
319,3,0.07024846971035004,,,,,,
329,3,0.14776375889778137,,,,,,
331,3,,0.06801359355449677,0.2777777910232544,0.3198876678943634,0.31776392459869385,0.800298273563385,
339,4,0.04401922971010208,,,,,,
349,4,0.159144327044487,,,,,,
359,4,0.10206830501556396,,,,,,
369,4,0.05272430181503296,,,,,,
379,4,0.1131393238902092,,,,,,
389,4,0.07461891323328018,,,,,,
399,4,0.05029076710343361,,,,,,
409,4,0.06930984556674957,,,,,,
414,4,,0.07114435732364655,0.3086419701576233,0.3576659560203552,0.3581472933292389,0.8133125901222229,
415,5,,,,,,,0.07114435732364655
