train_loss,epoch,step,val_qa_answer_f1,val_qa_sas,val_qa_em,val_qa_bert_score,val_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_em,test_loss,test_avg_qa_answer_f1
2.525564193725586,0,9,,,,,,,,,,
2.7913119792938232,0,19,,,,,,,,,,
1.9815330505371094,0,29,,,,,,,,,,
1.6648379564285278,0,39,,,,,,,,,,
,0,48,0.16636496782302856,0.2108372300863266,0.0859728530049324,0.7376527190208435,1.9916503429412842,,,,,
2.9547884464263916,1,49,,,,,,,,,,
1.9333738088607788,1,59,,,,,,,,,,
1.837904930114746,1,69,,,,,,,,,,
1.328012466430664,1,79,,,,,,,,,,
1.3386403322219849,1,89,,,,,,,,,,
,1,97,0.35248613357543945,0.3964146077632904,0.22171945869922638,0.8056319355964661,1.6463791131973267,,,,,
2.0175960063934326,2,99,,,,,,,,,,
1.2416216135025024,2,109,,,,,,,,,,
2.01906418800354,2,119,,,,,,,,,,
0.9178674221038818,2,129,,,,,,,,,,
1.3453116416931152,2,139,,,,,,,,,,
,2,146,0.42679473757743835,0.4712350070476532,0.28959277272224426,0.8330962061882019,1.4951108694076538,,,,,
0.7296308875083923,3,149,,,,,,,,,,
1.2240819931030273,3,159,,,,,,,,,,
1.0190294981002808,3,169,,,,,,,,,,
1.2202259302139282,3,179,,,,,,,,,,
1.3823211193084717,3,189,,,,,,,,,,
,3,195,0.48651251196861267,0.5329066514968872,0.3484162986278534,0.8567590117454529,1.3794147968292236,,,,,
1.0252602100372314,4,199,,,,,,,,,,
1.3454735279083252,4,209,,,,,,,,,,
1.767769694328308,4,219,,,,,,,,,,
1.3355063199996948,4,229,,,,,,,,,,
0.6548298001289368,4,239,,,,,,,,,,
,4,244,0.5027267336845398,0.5556640625,0.3665158450603485,0.8666462302207947,1.3461074829101562,,,,,
,5,245,,,,,,0.8666462302207947,0.5556640625,0.3665158450603485,1.3461074829101562,0.5027267336845398
