train_loss,epoch,step,val_qa_em,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,test_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em
0.9326944947242737,0,9,,,,,,,,,,
0.6936720013618469,0,19,,,,,,,,,,
0.5615020394325256,0,29,,,,,,,,,,
0.9901653528213501,0,39,,,,,,,,,,
,0,40,0.1944444477558136,0.6073470115661621,0.2547036409378052,0.7805926203727722,0.244903564453125,,,,,
0.7649155855178833,1,49,,,,,,,,,,
0.6623598337173462,1,59,,,,,,,,,,
0.7657991647720337,1,69,,,,,,,,,,
0.35133835673332214,1,79,,,,,,,,,,
,1,81,0.2777777910232544,0.5164786577224731,0.33899131417274475,0.8066449761390686,0.3252614438533783,,,,,
0.31321072578430176,2,89,,,,,,,,,,
0.5857345461845398,2,99,,,,,,,,,,
0.3851376175880432,2,109,,,,,,,,,,
0.36323559284210205,2,119,,,,,,,,,,
,2,122,0.2611111104488373,0.43167558312416077,0.3375919759273529,0.8182334899902344,0.3316548764705658,,,,,
0.5480055809020996,3,129,,,,,,,,,,
0.41806092858314514,3,139,,,,,,,,,,
0.49388739466667175,3,149,,,,,,,,,,
0.5743376612663269,3,159,,,,,,,,,,
,3,163,0.3166666626930237,0.39465153217315674,0.39224332571029663,0.8336972594261169,0.3806253969669342,,,,,
0.34180259704589844,4,169,,,,,,,,,,
0.3978580832481384,4,179,,,,,,,,,,
0.3630184829235077,4,189,,,,,,,,,,
0.49182116985321045,4,199,,,,,,,,,,
,4,204,0.3611111044883728,0.3788575530052185,0.43528780341148376,0.8439385294914246,0.4167887270450592,,,,,
,5,205,,,,,,0.3788575530052185,0.8439385294914246,0.4167887270450592,0.43528780341148376,0.3611111044883728
