step,epoch,train_loss,val_loss,val_qa_em,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,test_loss
9,0,0.9775048494338989,,,,,,
19,0,0.600602388381958,,,,,,
29,0,0.7428009510040283,,,,,,
39,0,0.5889456272125244,,,,,,
49,0,0.42325472831726074,,,,,,
59,0,0.22478120028972626,,,,,,
69,0,0.36896011233329773,,,,,,
79,0,0.3847406804561615,,,,,,
83,0,,0.0947536826133728,0.17721518874168396,0.3091060221195221,0.2506835162639618,0.786080539226532,
89,1,0.36684244871139526,,,,,,
99,1,0.2076413631439209,,,,,,
109,1,0.17948980629444122,,,,,,
119,1,0.23077329993247986,,,,,,
129,1,0.25088170170783997,,,,,,
139,1,0.23846761882305145,,,,,,
149,1,0.2971283793449402,,,,,,
159,1,0.23251958191394806,,,,,,
167,1,,0.07932993769645691,0.2594936788082123,0.3445941209793091,0.33906325697898865,0.8048169612884521,
169,2,0.18793967366218567,,,,,,
179,2,0.1836978942155838,,,,,,
189,2,0.15631303191184998,,,,,,
199,2,0.17714126408100128,,,,,,
209,2,0.1542215198278427,,,,,,
219,2,0.09556093066930771,,,,,,
229,2,0.10334740579128265,,,,,,
239,2,0.17813418805599213,,,,,,
249,2,0.09959195554256439,,,,,,
251,2,,0.08163103461265564,0.26582279801368713,0.32767486572265625,0.3364561200141907,0.8055662512779236,
259,3,0.12493821233510971,,,,,,
269,3,0.09123468399047852,,,,,,
279,3,0.11789732426404953,,,,,,
289,3,0.10180601477622986,,,,,,
299,3,0.10646031051874161,,,,,,
309,3,0.12884287536144257,,,,,,
319,3,0.11301673203706741,,,,,,
329,3,0.10847081989049911,,,,,,
335,3,,0.08319967240095139,0.3417721390724182,0.38463905453681946,0.41162917017936707,0.8252233266830444,
339,4,0.10895135253667831,,,,,,
349,4,0.04754525423049927,,,,,,
359,4,0.09523419290781021,,,,,,
369,4,0.07575405389070511,,,,,,
379,4,0.08159937709569931,,,,,,
389,4,0.06429457664489746,,,,,,
399,4,0.035557281225919724,,,,,,
409,4,0.07573433220386505,,,,,,
419,4,0.013244248926639557,,,,,,
419,4,,0.08740950375795364,0.37974682450294495,0.41767704486846924,0.4467146098613739,0.8347775340080261,
420,5,,,,,,,0.08740950375795364
