train_loss,step,epoch,val_qa_bert_score,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_em,test_loss,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_answer_f1
1.509867787361145,9,0,,,,,,,,,,
1.4070409536361694,19,0,,,,,,,,,,
1.255281686782837,29,0,,,,,,,,,,
0.6570639610290527,39,0,,,,,,,,,,
,41,0,0.7955278754234314,0.47341790795326233,0.3064408600330353,0.3015952408313751,0.24074074625968933,,,,,
0.5639852285385132,49,1,,,,,,,,,,
0.4134843647480011,59,1,,,,,,,,,,
0.5370485186576843,69,1,,,,,,,,,,
0.4474331736564636,79,1,,,,,,,,,,
,83,1,0.80902498960495,0.35677945613861084,0.34407737851142883,0.34869542717933655,0.2716049253940582,,,,,
0.5618910789489746,89,2,,,,,,,,,,
0.3426814377307892,99,2,,,,,,,,,,
0.3558640778064728,109,2,,,,,,,,,,
0.3745725750923157,119,2,,,,,,,,,,
,125,2,0.8218798041343689,0.31370416283607483,0.3933771252632141,0.3663400709629059,0.3086419701576233,,,,,
0.439911425113678,129,3,,,,,,,,,,
0.30781981348991394,139,3,,,,,,,,,,
0.5801770687103271,149,3,,,,,,,,,,
0.2495468556880951,159,3,,,,,,,,,,
,167,3,0.8350093364715576,0.29136255383491516,0.42873314023017883,0.407553493976593,0.35185185074806213,,,,,
0.35154882073402405,169,4,,,,,,,,,,
0.3487151861190796,179,4,,,,,,,,,,
0.2461628019809723,189,4,,,,,,,,,,
0.24979612231254578,199,4,,,,,,,,,,
0.17548970878124237,209,4,,,,,,,,,,
,209,4,0.857677698135376,0.2704358994960785,0.4884144067764282,0.4777803421020508,0.4197530746459961,,,,,
,210,5,,,,,,0.2704358994960785,0.4197530746459961,0.4884144067764282,0.857677698135376,0.4777803421020508
