epoch,step,train_loss,val_qa_em,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_loss,test_loss
0,9,1.2323997020721436,,,,,,
0,19,0.647162675857544,,,,,,
0,29,0.759533703327179,,,,,,
0,39,0.3612116277217865,,,,,,
0,49,0.4305884540081024,,,,,,
0,59,0.21143820881843567,,,,,,
0,69,0.3518965244293213,,,,,,
0,79,0.3291325867176056,,,,,,
0,81,,0.151162788271904,0.2437407523393631,0.7755498886108398,0.22600068151950836,0.11502198129892349,
1,89,0.26215603947639465,,,,,,
1,99,0.3376210629940033,,,,,,
1,109,0.23056787252426147,,,,,,
1,119,0.3315511643886566,,,,,,
1,129,0.19564329087734222,,,,,,
1,139,0.17670752108097076,,,,,,
1,149,0.24399104714393616,,,,,,
1,159,0.2774464786052704,,,,,,
1,163,,0.19767442345619202,0.2855075001716614,0.7899301648139954,0.2571810483932495,0.08960098773241043,
2,169,0.1097317710518837,,,,,,
2,179,0.37808725237846375,,,,,,
2,189,0.17662520706653595,,,,,,
2,199,0.20511506497859955,,,,,,
2,209,0.1587437242269516,,,,,,
2,219,0.13876324892044067,,,,,,
2,229,0.123555026948452,,,,,,
2,239,0.1436753273010254,,,,,,
2,245,,0.22093023359775543,0.29828977584838867,0.7919438481330872,0.2726204991340637,0.08481001108884811,
3,249,0.12628762423992157,,,,,,
3,259,0.21669790148735046,,,,,,
3,269,0.37410789728164673,,,,,,
3,279,0.24263867735862732,,,,,,
3,289,0.1475243717432022,,,,,,
3,299,0.08779126405715942,,,,,,
3,309,0.14313499629497528,,,,,,
3,319,0.14290982484817505,,,,,,
3,327,,0.2616279125213623,0.3286259174346924,0.8013753294944763,0.3068760633468628,0.07849152386188507,
4,329,0.11068586260080338,,,,,,
4,339,0.15292251110076904,,,,,,
4,349,0.13869862258434296,,,,,,
4,359,0.16066288948059082,,,,,,
4,369,0.11141034960746765,,,,,,
4,379,0.18176741898059845,,,,,,
4,389,0.10272452235221863,,,,,,
4,399,0.153943732380867,,,,,,
4,409,0.12377220392227173,,,,,,
4,409,,0.25581395626068115,0.32369837164878845,0.8012385964393616,0.3032548427581787,0.08066577464342117,
5,410,,,,,,,0.07849152386188507
