train_loss,step,epoch,val_qa_sas,val_loss,val_qa_em,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss,test_avg_qa_em
1.8356655836105347,9,0,,,,,,,,,,
0.8580595254898071,19,0,,,,,,,,,,
0.791534960269928,29,0,,,,,,,,,,
0.9894675612449646,39,0,,,,,,,,,,
0.581529438495636,49,0,,,,,,,,,,
0.5031537413597107,59,0,,,,,,,,,,
,59,0,0.23005670309066772,0.5157780647277832,0.16911764442920685,0.2657095491886139,0.7912637591362,,,,,
0.5310722589492798,69,1,,,,,,,,,,
0.44110363721847534,79,1,,,,,,,,,,
0.6530651450157166,89,1,,,,,,,,,,
0.5323659181594849,99,1,,,,,,,,,,
0.4335801601409912,109,1,,,,,,,,,,
0.32567933201789856,119,1,,,,,,,,,,
,119,1,0.3178727626800537,0.41032880544662476,0.26838234066963196,0.34975776076316833,0.8193647861480713,,,,,
0.3786481022834778,129,2,,,,,,,,,,
0.3046015501022339,139,2,,,,,,,,,,
0.321626752614975,149,2,,,,,,,,,,
0.30053675174713135,159,2,,,,,,,,,,
0.43282634019851685,169,2,,,,,,,,,,
0.1548035740852356,179,2,,,,,,,,,,
,179,2,0.3627395033836365,0.37989774346351624,0.3125,0.39110979437828064,0.8308844566345215,,,,,
0.2818005383014679,189,3,,,,,,,,,,
0.23244276642799377,199,3,,,,,,,,,,
0.28136593103408813,209,3,,,,,,,,,,
0.3514946401119232,219,3,,,,,,,,,,
0.30969420075416565,229,3,,,,,,,,,,
0.30615919828414917,239,3,,,,,,,,,,
,239,3,0.38541749119758606,0.3362274467945099,0.3382352888584137,0.41460931301116943,0.8377355337142944,,,,,
0.3279212713241577,249,4,,,,,,,,,,
0.2637544572353363,259,4,,,,,,,,,,
0.15311777591705322,269,4,,,,,,,,,,
0.3106570839881897,279,4,,,,,,,,,,
0.33962371945381165,289,4,,,,,,,,,,
0.2051340788602829,299,4,,,,,,,,,,
,299,4,0.4045446813106537,0.3040349781513214,0.3602941036224365,0.437146931886673,0.8427869081497192,,,,,
,300,5,,,,,,0.8427869081497192,0.437146931886673,0.4045446813106537,0.3040349781513214,0.3602941036224365
