train_loss,epoch,step,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_sas,test_loss,test_avg_qa_bert_score
2.0519158840179443,0,9,,,,,,,,,,
0.8800792098045349,0,19,,,,,,,,,,
0.9511169195175171,0,29,,,,,,,,,,
0.8251592516899109,0,39,,,,,,,,,,
0.923869252204895,0,49,,,,,,,,,,
0.8619008660316467,0,59,,,,,,,,,,
,0,62,0.19736842811107635,0.7940267324447632,0.24784228205680847,0.29707372188568115,0.45017871260643005,,,,,
0.46703577041625977,1,69,,,,,,,,,,
0.2646864950656891,1,79,,,,,,,,,,
0.5904282331466675,1,89,,,,,,,,,,
0.4466852843761444,1,99,,,,,,,,,,
0.7986997961997986,1,109,,,,,,,,,,
0.3828815519809723,1,119,,,,,,,,,,
,1,125,0.28070175647735596,0.8263664841651917,0.3384239077568054,0.37748801708221436,0.39297789335250854,,,,,
0.4918934106826782,2,129,,,,,,,,,,
0.6855701804161072,2,139,,,,,,,,,,
0.45224738121032715,2,149,,,,,,,,,,
0.45602285861968994,2,159,,,,,,,,,,
0.3207522928714752,2,169,,,,,,,,,,
0.25475895404815674,2,179,,,,,,,,,,
,2,188,0.26754385232925415,0.8169901371002197,0.3134765625,0.3581426739692688,0.35416728258132935,,,,,
0.6164743304252625,3,189,,,,,,,,,,
0.3778468072414398,3,199,,,,,,,,,,
0.4695882201194763,3,209,,,,,,,,,,
0.4404458701610565,3,219,,,,,,,,,,
0.5701960921287537,3,229,,,,,,,,,,
0.5220921635627747,3,239,,,,,,,,,,
0.41559645533561707,3,249,,,,,,,,,,
,3,251,0.2982456088066101,0.8258599638938904,0.3402959108352661,0.38782358169555664,0.34082216024398804,,,,,
0.4310264587402344,4,259,,,,,,,,,,
0.2869402766227722,4,269,,,,,,,,,,
0.27689048647880554,4,279,,,,,,,,,,
0.32250699400901794,4,289,,,,,,,,,,
0.32658323645591736,4,299,,,,,,,,,,
0.3249357342720032,4,309,,,,,,,,,,
,4,314,0.3464912176132202,0.8397156596183777,0.39119693636894226,0.4291532337665558,0.3125564157962799,,,,,
,5,315,,,,,,0.4291532337665558,0.3464912176132202,0.39119693636894226,0.3125564157962799,0.8397156596183777
