train_loss,step,epoch,val_qa_answer_f1,val_qa_sas,val_qa_em,val_qa_bert_score,val_loss,test_loss
0.5899600982666016,9,0,,,,,,
0.26004302501678467,19,0,,,,,,
0.7301937341690063,29,0,,,,,,
0.2306065708398819,39,0,,,,,,
0.38419243693351746,49,0,,,,,,
0.40062201023101807,59,0,,,,,,
0.4149837791919708,69,0,,,,,,
0.36002761125564575,79,0,,,,,,
,80,0,0.329489529132843,0.3854469358921051,0.24444444477558136,0.805506706237793,0.10169795900583267,
0.1462947577238083,89,1,,,,,,
0.2687641978263855,99,1,,,,,,
0.2905018925666809,109,1,,,,,,
0.3541242778301239,119,1,,,,,,
0.36099883913993835,129,1,,,,,,
0.20806951820850372,139,1,,,,,,
0.15821132063865662,149,1,,,,,,
0.3120273947715759,159,1,,,,,,
,161,1,0.3680981397628784,0.40298622846603394,0.30000001192092896,0.8177529573440552,0.07783238589763641,
0.10399989038705826,169,2,,,,,,
0.08499374985694885,179,2,,,,,,
0.1283513307571411,189,2,,,,,,
0.09258554875850677,199,2,,,,,,
0.10628096014261246,209,2,,,,,,
0.118601493537426,219,2,,,,,,
0.09196395426988602,229,2,,,,,,
0.1279100924730301,239,2,,,,,,
,242,2,0.41313260793685913,0.43225425481796265,0.3499999940395355,0.8320201635360718,0.0689956396818161,
0.11984274536371231,249,3,,,,,,
0.07607755810022354,259,3,,,,,,
0.1612483710050583,269,3,,,,,,
0.07794330269098282,279,3,,,,,,
0.09468773007392883,289,3,,,,,,
0.09989246726036072,299,3,,,,,,
0.06929254531860352,309,3,,,,,,
0.05841211602091789,319,3,,,,,,
,323,3,0.4506678283214569,0.46338772773742676,0.3888888955116272,0.8445970416069031,0.06672452390193939,
0.08033058792352676,329,4,,,,,,
0.05720134824514389,339,4,,,,,,
0.06911352276802063,349,4,,,,,,
0.03953006863594055,359,4,,,,,,
0.09034311771392822,369,4,,,,,,
0.03236990049481392,379,4,,,,,,
0.05547183379530907,389,4,,,,,,
0.15077751874923706,399,4,,,,,,
,404,4,0.49442484974861145,0.487319678068161,0.4277777671813965,0.8562784790992737,0.07236842811107635,
,405,5,,,,,,0.07236842811107635
