train_loss,epoch,step,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_answer_f1
1.9291980266571045,0,9,,,,,,,,,,
0.9198861718177795,0,19,,,,,,,,,,
0.7922607660293579,0,29,,,,,,,,,,
0.9749321341514587,0,39,,,,,,,,,,
0.5849341154098511,0,49,,,,,,,,,,
0.552276074886322,0,59,,,,,,,,,,
,0,59,0.2816619277000427,0.31360772252082825,0.804373025894165,0.5185360908508301,0.20955882966518402,,,,,
0.5802760720252991,1,69,,,,,,,,,,
0.38157185912132263,1,79,,,,,,,,,,
0.6559040546417236,1,89,,,,,,,,,,
0.5626006722450256,1,99,,,,,,,,,,
0.408397912979126,1,109,,,,,,,,,,
0.37069639563560486,1,119,,,,,,,,,,
,1,119,0.2979675829410553,0.323755145072937,0.8018746376037598,0.4460259974002838,0.25,,,,,
0.6126211285591125,2,129,,,,,,,,,,
0.27931252121925354,2,139,,,,,,,,,,
0.4110763967037201,2,149,,,,,,,,,,
0.42770475149154663,2,159,,,,,,,,,,
0.5097719430923462,2,169,,,,,,,,,,
0.20306000113487244,2,179,,,,,,,,,,
,2,179,0.32150182127952576,0.354240357875824,0.8133383989334106,0.41424301266670227,0.2720588147640228,,,,,
0.2667776644229889,3,189,,,,,,,,,,
0.206675186753273,3,199,,,,,,,,,,
0.4013034999370575,3,209,,,,,,,,,,
0.35080426931381226,3,219,,,,,,,,,,
0.393798291683197,3,229,,,,,,,,,,
0.42483770847320557,3,239,,,,,,,,,,
,3,239,0.3665284514427185,0.3983190059661865,0.8320029377937317,0.3848455250263214,0.3125,,,,,
0.3634200394153595,4,249,,,,,,,,,,
0.46708232164382935,4,259,,,,,,,,,,
0.34446752071380615,4,269,,,,,,,,,,
0.4088197350502014,4,279,,,,,,,,,,
0.47984784841537476,4,289,,,,,,,,,,
0.2503398358821869,4,299,,,,,,,,,,
,4,299,0.36485445499420166,0.39911025762557983,0.8343576788902283,0.3733702600002289,0.31617647409439087,,,,,
,5,300,,,,,,0.3733702600002289,0.31617647409439087,0.8343576788902283,0.36485445499420166,0.39911025762557983
