train_loss,epoch,step,val_qa_em,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,test_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em
0.7041141986846924,0,9,,,,,,,,,,
0.8134387731552124,0,19,,,,,,,,,,
0.8054900169372559,0,29,,,,,,,,,,
0.5239408612251282,0,39,,,,,,,,,,
,0,41,0.18518517911434174,0.584072470664978,0.24964497983455658,0.7853967547416687,0.25107088685035706,,,,,
0.6340162754058838,1,49,,,,,,,,,,
0.5265645980834961,1,59,,,,,,,,,,
0.6475524306297302,1,69,,,,,,,,,,
0.8887452483177185,1,79,,,,,,,,,,
,1,83,0.2839506268501282,0.5042169690132141,0.3444898724555969,0.8194084763526917,0.3403986096382141,,,,,
0.5335650444030762,2,89,,,,,,,,,,
0.4164676368236542,2,99,,,,,,,,,,
0.6608933210372925,2,109,,,,,,,,,,
0.6233538389205933,2,119,,,,,,,,,,
,2,125,0.327160507440567,0.43245014548301697,0.38665664196014404,0.8302413821220398,0.3705610930919647,,,,,
0.39777109026908875,3,129,,,,,,,,,,
0.4203633964061737,3,139,,,,,,,,,,
0.4342884123325348,3,149,,,,,,,,,,
0.5576474070549011,3,159,,,,,,,,,,
,3,167,0.29629629850387573,0.41154780983924866,0.35902199149131775,0.8227648138999939,0.3499312102794647,,,,,
0.6281588077545166,4,169,,,,,,,,,,
nan,4,179,,,,,,,,,,
0.35452622175216675,4,189,,,,,,,,,,
0.300283819437027,4,199,,,,,,,,,,
0.25007176399230957,4,209,,,,,,,,,,
,4,209,0.3395061790943146,0.4006185233592987,0.3923671245574951,0.8311275243759155,0.38008812069892883,,,,,
,5,210,,,,,,0.4006185233592987,0.8311275243759155,0.38008812069892883,0.3923671245574951,0.3395061790943146
