train_loss,epoch,step,val_qa_em,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_loss,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1
3.4104502201080322,0,9,,,,,,,,,,
3.6069817543029785,0,19,,,,,,,,,,
2.173424243927002,0,29,,,,,,,,,,
2.418605327606201,0,39,,,,,,,,,,
2.7867062091827393,0,49,,,,,,,,,,
,0,51,0.09770114719867706,0.15623973309993744,0.7442094683647156,0.21439431607723236,2.205085039138794,,,,,
2.0144739151000977,1,59,,,,,,,,,,
2.4188039302825928,1,69,,,,,,,,,,
1.3533382415771484,1,79,,,,,,,,,,
2.2732224464416504,1,89,,,,,,,,,,
1.9380079507827759,1,99,,,,,,,,,,
,1,103,0.18965516984462738,0.319312185049057,0.8020408153533936,0.3792280852794647,1.798967957496643,,,,,
2.0656192302703857,2,109,,,,,,,,,,
1.4341908693313599,2,119,,,,,,,,,,
2.476656436920166,2,129,,,,,,,,,,
1.4430568218231201,2,139,,,,,,,,,,
2.1690783500671387,2,149,,,,,,,,,,
,2,155,0.2586206793785095,0.40749862790107727,0.8304681181907654,0.4583185315132141,1.6118181943893433,,,,,
1.3817672729492188,3,159,,,,,,,,,,
1.057774305343628,3,169,,,,,,,,,,
0.8809493780136108,3,179,,,,,,,,,,
1.3547290563583374,3,189,,,,,,,,,,
1.8510698080062866,3,199,,,,,,,,,,
,3,207,0.3103448152542114,0.4603174030780792,0.8513579964637756,0.5037286877632141,1.4908447265625,,,,,
1.0902149677276611,4,209,,,,,,,,,,
1.064484715461731,4,219,,,,,,,,,,
1.2587354183197021,4,229,,,,,,,,,,
0.9401506185531616,4,239,,,,,,,,,,
0.983974277973175,4,249,,,,,,,,,,
1.9538116455078125,4,259,,,,,,,,,,
,4,259,0.35057470202445984,0.4988504946231842,0.8616472482681274,0.55029296875,1.4339348077774048,,,,,
,5,260,,,,,,0.35057470202445984,0.55029296875,0.8616472482681274,1.4339348077774048,0.4988504946231842
