step,train_loss,epoch,val_qa_bert_score,val_qa_em,val_qa_sas,val_loss,val_qa_answer_f1,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_em
9,1.8107043504714966,0,,,,,,,,,,
19,1.3048516511917114,0,,,,,,,,,,
29,0.8485094904899597,0,,,,,,,,,,
39,1.046412467956543,0,,,,,,,,,,
40,,0,0.7661954760551453,0.12209302186965942,0.17446066439151764,0.6107790470123291,0.21255968511104584,,,,,
49,0.7591353058815002,1,,,,,,,,,,
59,0.47086581587791443,1,,,,,,,,,,
69,0.41476526856422424,1,,,,,,,,,,
79,0.5934002995491028,1,,,,,,,,,,
81,,1,0.7950519919395447,0.22674418985843658,0.2757124602794647,0.4885643422603607,0.3077767491340637,,,,,
89,0.43292954564094543,2,,,,,,,,,,
99,0.49329856038093567,2,,,,,,,,,,
109,0.32998403906822205,2,,,,,,,,,,
119,0.41733530163764954,2,,,,,,,,,,
122,,2,0.8123661279678345,0.26744186878204346,0.3085770905017853,0.4339451491832733,0.352068692445755,,,,,
129,0.40973955392837524,3,,,,,,,,,,
139,0.4320715069770813,3,,,,,,,,,,
149,0.29144424200057983,3,,,,,,,,,,
159,0.20446349680423737,3,,,,,,,,,,
163,,3,0.8168284893035889,0.2906976640224457,0.3248845934867859,0.40675345063209534,0.3721309006214142,,,,,
169,0.6493802666664124,4,,,,,,,,,,
179,0.32101520895957947,4,,,,,,,,,,
189,0.23044338822364807,4,,,,,,,,,,
199,0.3577834963798523,4,,,,,,,,,,
204,,4,0.8246831893920898,0.302325576543808,0.3424516022205353,0.38297927379608154,0.3827805519104004,,,,,
205,,5,,,,,,0.3827805519104004,0.8246831893920898,0.38297927379608154,0.3424516022205353,0.302325576543808
