train_loss,step,epoch,val_qa_answer_f1,val_loss,val_qa_sas,val_qa_em,val_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_bert_score
1.2286015748977661,9,0,,,,,,,,,,
1.3192230463027954,19,0,,,,,,,,,,
0.7959556579589844,29,0,,,,,,,,,,
0.8728793859481812,39,0,,,,,,,,,,
,40,0,0.2743941843509674,0.5881966352462769,0.252044677734375,0.1944444477558136,0.7854673266410828,,,,,
0.6614872813224792,49,1,,,,,,,,,,
0.4955993592739105,59,1,,,,,,,,,,
0.6357576847076416,69,1,,,,,,,,,,
0.5911219716072083,79,1,,,,,,,,,,
,81,1,0.39781299233436584,0.4103153645992279,0.3764444887638092,0.31111112236976624,0.8286757469177246,,,,,
0.3330742418766022,89,2,,,,,,,,,,
0.4286496043205261,99,2,,,,,,,,,,
0.4247346818447113,109,2,,,,,,,,,,
0.4581368863582611,119,2,,,,,,,,,,
,122,2,0.4475959241390228,0.35094350576400757,0.419342041015625,0.3722222149372101,0.842106282711029,,,,,
0.44140079617500305,129,3,,,,,,,,,,
0.44898521900177,139,3,,,,,,,,,,
0.4174872040748596,149,3,,,,,,,,,,
0.6588785648345947,159,3,,,,,,,,,,
,163,3,0.45298054814338684,0.3381003141403198,0.429351806640625,0.3722222149372101,0.846560537815094,,,,,
0.33716389536857605,169,4,,,,,,,,,,
0.29615190625190735,179,4,,,,,,,,,,
0.33775606751441956,189,4,,,,,,,,,,
0.3554014265537262,199,4,,,,,,,,,,
,204,4,0.5054879188537598,0.3209945857524872,0.4905191957950592,0.42222222685813904,0.8727666735649109,,,,,
,205,5,,,,,,0.3209945857524872,0.4905191957950592,0.5054879188537598,0.42222222685813904,0.8727666735649109
