train_loss,epoch,step,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_loss,val_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
1.7831140756607056,0,9,,,,,,,,,,
0.9693467617034912,0,19,,,,,,,,,,
1.1111953258514404,0,29,,,,,,,,,,
0.8921582102775574,0,39,,,,,,,,,,
,0,41,0.7840964198112488,0.29000431299209595,0.19480518996715546,0.4835086166858673,0.2743774354457855,,,,,
0.5572535991668701,1,49,,,,,,,,,,
0.5004910826683044,1,59,,,,,,,,,,
0.518215000629425,1,69,,,,,,,,,,
0.40860554575920105,1,79,,,,,,,,,,
,1,83,0.8047977685928345,0.3747756779193878,0.30519479513168335,0.34655147790908813,0.35089111328125,,,,,
0.48249104619026184,2,89,,,,,,,,,,
0.5294665694236755,2,99,,,,,,,,,,
0.3099735975265503,2,109,,,,,,,,,,
0.33098936080932617,2,119,,,,,,,,,,
,2,125,0.8224128484725952,0.41853323578834534,0.37662336230278015,0.29737457633018494,0.39842528104782104,,,,,
0.4996095597743988,3,129,,,,,,,,,,
0.3567963242530823,3,139,,,,,,,,,,
0.280534565448761,3,149,,,,,,,,,,
0.30722448229789734,3,159,,,,,,,,,,
,3,167,0.8287699818611145,0.41937780380249023,0.3571428656578064,0.27610480785369873,0.3915649354457855,,,,,
0.44465914368629456,4,169,,,,,,,,,,
0.34830379486083984,4,179,,,,,,,,,,
0.33978235721588135,4,189,,,,,,,,,,
0.4965105652809143,4,199,,,,,,,,,,
0.36998891830444336,4,209,,,,,,,,,,
,4,209,0.8355315327644348,0.45492711663246155,0.3961038887500763,0.26465466618537903,0.42139893770217896,,,,,
,5,210,,,,,,0.45492711663246155,0.3961038887500763,0.26465466618537903,0.8355315327644348,0.42139893770217896
