epoch,train_loss,step,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_sas,val_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_em
0,2.5536751747131348,9,,,,,,,,,,
0,2.962639808654785,19,,,,,,,,,,
0,1.809450626373291,29,,,,,,,,,,
0,1.9055718183517456,39,,,,,,,,,,
0,,47,0.36169150471687317,2.1275246143341064,0.8025444746017456,0.38062337040901184,0.26406925916671753,,,,,
1,1.358097791671753,49,,,,,,,,,,
1,3.0983662605285645,59,,,,,,,,,,
1,2.311619997024536,69,,,,,,,,,,
1,1.7955275774002075,79,,,,,,,,,,
1,2.2832863330841064,89,,,,,,,,,,
1,,95,0.4571382403373718,1.8735579252243042,0.8399339914321899,0.47195637226104736,0.34632036089897156,,,,,
2,1.1501190662384033,99,,,,,,,,,,
2,0.9146186709403992,109,,,,,,,,,,
2,1.2441222667694092,119,,,,,,,,,,
2,1.8228340148925781,129,,,,,,,,,,
2,1.469031572341919,139,,,,,,,,,,
2,,143,0.4949583113193512,1.7175649404525757,0.8501361012458801,0.5034016966819763,0.37662336230278015,,,,,
3,1.1978787183761597,149,,,,,,,,,,
3,1.8243796825408936,159,,,,,,,,,,
3,1.1984491348266602,169,,,,,,,,,,
3,1.6706745624542236,179,,,,,,,,,,
3,1.7494008541107178,189,,,,,,,,,,
3,,191,0.5220043063163757,1.658144474029541,0.8611146807670593,0.5298177003860474,0.3982684016227722,,,,,
4,1.3057812452316284,199,,,,,,,,,,
4,1.7583062648773193,209,,,,,,,,,,
4,2.0375149250030518,219,,,,,,,,,,
4,1.5187617540359497,229,,,,,,,,,,
4,1.558243751525879,239,,,,,,,,,,
4,,239,0.554399847984314,1.5786930322647095,0.8694909811019897,0.5622395873069763,0.4199134111404419,,,,,
5,,240,,,,,,0.554399847984314,0.8694909811019897,1.5786930322647095,0.5622395873069763,0.4199134111404419
