step,epoch,train_loss,val_loss,val_qa_em,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,test_loss
9,0,1.316003680229187,,,,,,
19,0,0.7981722354888916,,,,,,
29,0,0.7844093441963196,,,,,,
39,0,0.4443257451057434,,,,,,
49,0,0.3672155439853668,,,,,,
59,0,0.24424463510513306,,,,,,
69,0,0.31756794452667236,,,,,,
79,0,0.37793242931365967,,,,,,
81,0,,0.11450013518333435,0.1627907007932663,0.24433566629886627,0.2492031753063202,0.7791088223457336,
89,1,0.25571566820144653,,,,,,
99,1,0.31184786558151245,,,,,,
109,1,0.26295205950737,,,,,,
119,1,0.35185372829437256,,,,,,
129,1,0.15130704641342163,,,,,,
139,1,0.15054813027381897,,,,,,
149,1,0.21028347313404083,,,,,,
159,1,0.3269273340702057,,,,,,
163,1,,0.08948864787817001,0.19767442345619202,0.2536144256591797,0.27564066648483276,0.7879201769828796,
169,2,0.11421243846416473,,,,,,
179,2,0.30381467938423157,,,,,,
189,2,0.15029506385326385,,,,,,
199,2,0.15133465826511383,,,,,,
209,2,0.10251957178115845,,,,,,
219,2,0.14383314549922943,,,,,,
229,2,0.155978724360466,,,,,,
239,2,0.20704513788223267,,,,,,
245,2,,0.08464279770851135,0.22674418985843658,0.2700350880622864,0.3057622015476227,0.7947190403938293,
249,3,0.15596525371074677,,,,,,
259,3,0.27501678466796875,,,,,,
269,3,0.33885496854782104,,,,,,
279,3,0.2383068948984146,,,,,,
289,3,0.18278881907463074,,,,,,
299,3,0.1206204816699028,,,,,,
309,3,0.10728015750646591,,,,,,
319,3,0.198699951171875,,,,,,
327,3,,0.08138301223516464,0.2848837077617645,0.3255985975265503,0.3556084632873535,0.8089963793754578,
329,4,0.09563802927732468,,,,,,
339,4,0.14554215967655182,,,,,,
349,4,0.13822166621685028,,,,,,
359,4,0.08213751763105392,,,,,,
369,4,0.11515460163354874,,,,,,
379,4,0.11397278308868408,,,,,,
389,4,0.06727009266614914,,,,,,
399,4,0.1390821486711502,,,,,,
409,4,0.12022803723812103,,,,,,
409,4,,0.08149154484272003,0.26744186878204346,0.30824345350265503,0.3486480414867401,0.8063268065452576,
410,5,,,,,,,0.08138301223516464
