epoch,step,train_loss,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1
0,9,1.7171730995178223,,,,,,,,,,
0,19,1.176225185394287,,,,,,,,,,
0,29,0.8151014447212219,,,,,,,,,,
0,39,1.9485726356506348,,,,,,,,,,
0,49,2.0017011165618896,,,,,,,,,,
0,50,,0.5763834118843079,0.5296804308891296,0.8549455404281616,1.7622891664505005,0.32608696818351746,,,,,
1,59,1.3824925422668457,,,,,,,,,,
1,69,1.493320107460022,,,,,,,,,,
1,79,1.2588366270065308,,,,,,,,,,
1,89,1.035866379737854,,,,,,,,,,
1,99,1.5370595455169678,,,,,,,,,,
1,101,,0.6018074750900269,0.558957040309906,0.8670760989189148,1.6142884492874146,0.3695652186870575,,,,,
2,109,1.4073888063430786,,,,,,,,,,
2,119,0.7618208527565002,,,,,,,,,,
2,129,0.9962223172187805,,,,,,,,,,
2,139,1.2094775438308716,,,,,,,,,,
2,149,1.0353481769561768,,,,,,,,,,
2,152,,0.5979631543159485,0.554980993270874,0.86695796251297,1.562235951423645,0.38695651292800903,,,,,
3,159,1.0707565546035767,,,,,,,,,,
3,169,0.8716710209846497,,,,,,,,,,
3,179,0.9810929298400879,,,,,,,,,,
3,189,1.3016413450241089,,,,,,,,,,
3,199,1.026646614074707,,,,,,,,,,
3,203,,0.6140807271003723,0.5674133896827698,0.8725383877754211,1.525124192237854,0.40434783697128296,,,,,
4,209,1.1169743537902832,,,,,,,,,,
4,219,1.176581621170044,,,,,,,,,,
4,229,1.1554996967315674,,,,,,,,,,
4,239,1.0761488676071167,,,,,,,,,,
4,249,0.935694694519043,,,,,,,,,,
4,254,,0.6178826093673706,0.5705500245094299,0.8734023571014404,1.4859437942504883,0.4000000059604645,,,,,
5,255,,,,,,,0.4000000059604645,0.6178826093673706,0.8734023571014404,1.4859437942504883,0.5705500245094299
