train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_meteor,val_qa_sas,test_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_meteor,test_avg_qa_sas
2.6903131008148193,0,9,,,,,,,,,,,,
1.1597076654434204,0,19,,,,,,,,,,,,
1.0788358449935913,0,29,,,,,,,,,,,,
1.7396026849746704,0,39,,,,,,,,,,,,
,0,48,1.6460096836090088,0.4887959957122803,0.8638644814491272,0.31100478768348694,0.4867818057537079,0.5078353881835938,,,,,,
1.4662398099899292,1,49,,,,,,,,,,,,
1.6945359706878662,1,59,,,,,,,,,,,,
1.0184712409973145,1,69,,,,,,,,,,,,
1.3977203369140625,1,79,,,,,,,,,,,,
1.2249079942703247,1,89,,,,,,,,,,,,
,1,97,1.4819159507751465,0.5090131759643555,0.8827122449874878,0.330143541097641,0.5506214499473572,0.5814906358718872,,,,,,
1.3268916606903076,2,99,,,,,,,,,,,,
1.28585684299469,2,109,,,,,,,,,,,,
0.8540186285972595,2,119,,,,,,,,,,,,
0.6251498460769653,2,129,,,,,,,,,,,,
1.6565104722976685,2,139,,,,,,,,,,,,
,2,146,1.3889673948287964,0.523338794708252,0.892522394657135,0.35885167121887207,0.6062065362930298,0.5951799750328064,,,,,,
0.6659508943557739,3,149,,,,,,,,,,,,
1.0683684349060059,3,159,,,,,,,,,,,,
0.8380365371704102,3,169,,,,,,,,,,,,
0.6045175194740295,3,179,,,,,,,,,,,,
0.8739363551139832,3,189,,,,,,,,,,,,
,3,195,1.307938814163208,0.5411086082458496,0.8981831669807434,0.38277512788772583,0.6218182444572449,0.6167515516281128,,,,,,
1.2889349460601807,4,199,,,,,,,,,,,,
0.8005736470222473,4,209,,,,,,,,,,,,
0.8886094093322754,4,219,,,,,,,,,,,,
0.30171024799346924,4,229,,,,,,,,,,,,
1.5156704187393188,4,239,,,,,,,,,,,,
,4,244,1.328709602355957,0.5373225808143616,0.8981674909591675,0.38277512788772583,0.625645101070404,0.6101597547531128,,,,,,
,5,245,,,,,,,1.307938814163208,0.5411086082458496,0.8981831669807434,0.38277512788772583,0.6218182444572449,0.6167515516281128
