train_loss,epoch,step,val_loss,val_qa_sas,val_qa_bert_score,val_qa_em,val_qa_answer_f1,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_em,test_avg_qa_sas
1.5361413955688477,0,9,,,,,,,,,,
1.434502124786377,0,19,,,,,,,,,,
1.8984657526016235,0,29,,,,,,,,,,
1.741580605506897,0,39,,,,,,,,,,
1.2137422561645508,0,49,,,,,,,,,,
,0,51,0.8391628861427307,0.430419921875,0.8246699571609497,0.1527777761220932,0.32926008105278015,,,,,
1.941578984260559,1,59,,,,,,,,,,
1.5673868656158447,1,69,,,,,,,,,,
1.6541329622268677,1,79,,,,,,,,,,
1.5493136644363403,1,89,,,,,,,,,,
1.1720094680786133,1,99,,,,,,,,,,
,1,103,0.7766390442848206,0.47216796875,0.842536449432373,0.19907407462596893,0.3950396776199341,,,,,
0.8552964925765991,2,109,,,,,,,,,,
0.9634721875190735,2,119,,,,,,,,,,
1.8220614194869995,2,129,,,,,,,,,,
1.2402019500732422,2,139,,,,,,,,,,
0.9358780384063721,2,149,,,,,,,,,,
,2,155,0.7473208904266357,0.5066092610359192,0.852047324180603,0.24537037312984467,0.42916133999824524,,,,,
0.7430191040039062,3,159,,,,,,,,,,
1.249165415763855,3,169,,,,,,,,,,
0.9816698431968689,3,179,,,,,,,,,,
0.7810077667236328,3,189,,,,,,,,,,
1.5190402269363403,3,199,,,,,,,,,,
,3,207,0.7371599674224854,0.5265938639640808,0.8562345504760742,0.25,0.44719982147216797,,,,,
1.6366581916809082,4,209,,,,,,,,,,
1.2753546237945557,4,219,,,,,,,,,,
0.9552707076072693,4,229,,,,,,,,,,
1.0078513622283936,4,239,,,,,,,,,,
0.8483855724334717,4,249,,,,,,,,,,
0.42978188395500183,4,259,,,,,,,,,,
,4,259,0.730427086353302,0.5257568359375,0.8564127087593079,0.24537037312984467,0.44352400302886963,,,,,
,5,260,,,,,,0.44352400302886963,0.8564127087593079,0.730427086353302,0.24537037312984467,0.5257568359375
